,nums,labels
0,trehundrede og otteoghalvfjerds; syvhundrede og treogtreds,1
1,tre; nihundrede og niogtyve,1
2,ethundrede og otteogfyrre; ethundrede og atten,0
3,femhundrede og nioghalvfems; trehundrede og toogtreds,0
4,trehundrede og nioghalvtreds; sekshundrede og halvfems,1
5,femhundrede og fireogtredive; femhundrede og enoghalvfems,1
6,syvhundrede og tooghalvfjerds; nihundrede og syvoghalvfems,1
7,tohundrede og otteoghalvfjerds; firehundrede og halvfems,1
8,treogfyrre; syvhundrede og et,1
9,tohundrede og seksoghalvfems; ethundrede og seksten,0
10,firehundrede og femoghalvfems; firehundrede og nioghalvtreds,0
11,femhundrede og fyrre; firehundrede og syvoghalvtreds,0
12,firehundrede og niogtyve; ethundrede og femogfyrre,0
13,tohundrede; femhundrede og treds,1
14,firs; sekshundrede og otteoghalvfjerds,1
15,firehundrede og femoghalvfems; sekshundrede og seksoghalvtreds,1
16,syvhundrede og otteogtredive; ethundrede og fireogtreds,0
17,firehundrede og syvoghalvfems; sekshundrede og enogtredive,1
18,nihundrede og otte; firehundrede og fyrre,0
19,ottehundrede og fireogtyve; sekshundrede og sytten,0
20,syvogtreds; firehundrede og treogfyrre,1
21,femhundrede og tretten; trehundrede og seksogtredive,0
22,trehundrede og treogfirs; syvhundrede og nitten,1
23,tohundrede og femoghalvfems; tooghalvfems,0
24,trehundrede og syvoghalvfjerds; sekshundrede og toogfyrre,1
25,trehundrede og fireogtyve; tohundrede og niogtreds,0
26,sekshundrede og femogtredive; sekshundrede og fyrre,1
27,femhundrede og treogfyrre; sekshundrede og treogfyrre,1
28,otteoghalvfjerds; otteogtreds,0
29,ottehundrede og nioghalvtreds; syvhundrede og syvogfyrre,0
30,nihundrede og fem; ethundrede og tretten,0
31,ottehundrede og seksoghalvfems; nihundrede og elleve,1
32,femhundrede og nitten; ethundrede og firs,0
33,femoghalvtreds; trehundrede og fireogtredive,1
34,femhundrede og treogtredive; nihundrede og syvogfirs,1
35,syvhundrede og firs; sekshundrede og syvogtreds,0
36,ethundrede og toogtyve; syvhundrede og treogtreds,1
37,tohundrede og otteogfirs; femhundrede og toogtyve,1
38,femhundrede og tooghalvtreds; femhundrede og nitten,0
39,femhundrede og enogfirs; syv,0
40,ottehundrede og niogtreds; syvhundrede og femten,0
41,ottehundrede og fireogtreds; trehundrede og otteogtyve,0
42,tohundrede og ni; syvhundrede og treoghalvfjerds,1
43,sekshundrede og fireoghalvfjerds; ethundrede og tretten,0
44,syvhundrede og otteogtyve; femhundrede og syv,0
45,syvhundrede og fireogtredive; tohundrede og otteogfirs,0
46,femhundrede og to; syvhundrede og fireoghalvfjerds,1
47,firehundrede og to; syvhundrede og syvogtyve,1
48,ethundrede og seksten; sekshundrede og treogfirs,1
49,firehundrede og fireoghalvfems; sekshundrede og syvoghalvfjerds,1
50,ethundrede og syvoghalvfems; trehundrede og ni,1
51,syvhundrede og tyve; femhundrede og et,0
52,femhundrede og seksoghalvfems; tohundrede og niogfyrre,0
53,tohundrede og treogfyrre; trehundrede og tolv,1
54,tohundrede og halvtreds; ethundrede og niogtyve,0
55,syvhundrede og treogtreds; ottehundrede og nitten,1
56,ottehundrede og otte; femhundrede og otteogtyve,0
57,seksogtyve; otteogfirs,1
58,firehundrede og seksogtyve; tohundrede og tooghalvfjerds,0
59,syv; femhundrede og fireoghalvtreds,1
60,femhundrede og seks; otteogtreds,0
61,ottehundrede og femogtreds; ottehundrede og toogtredive,0
62,ottehundrede og fem; nihundrede og femogtyve,1
63,femhundrede og enogtyve; syvhundrede og syv,1
64,firehundrede og atten; firehundrede og syvoghalvfems,1
65,firehundrede og enogtyve; tohundrede og femogtyve,0
66,atten; tohundrede og seksogtreds,1
67,firehundrede og fireoghalvtreds; ethundrede,0
68,tohundrede og nioghalvfjerds; treogtreds,0
69,trehundrede og nioghalvfems; syvhundrede og otteogtyve,1
70,ethundrede og otteoghalvtreds; tohundrede og seks,1
