,nums,labels
0,totusinde og sekshundrede og fireoghalvtreds,0
1,ettusinde og ethundrede og tolv,0
2,totusinde og nihundrede og otteoghalvtreds,0
3,ettusinde og firehundrede og fjorten,0
4,tretusinde og treoghalvtreds,0
5,ettusinde og tohundrede og enoghalvfjerds,0
6,firetusinde og trehundrede og femoghalvfems,0
7,tretusinde og sekshundrede og fjorten,0
8,tretusinde og trehundrede og tooghalvfjerds,0
9,ettusinde og ottehundrede og enoghalvfjerds,0
10,totusinde og sekshundrede og fjorten,0
11,firetusinde og trehundrede og otteoghalvfems,0
12,totusinde og trehundrede og otteoghalvfems,0
13,firetusinde og toogtreds,0
14,tretusinde og ethundrede og nioghalvfems,0
15,sekshundrede og enogfirs,0
16,ettusinde og ethundrede og toogfyrre,0
17,firetusinde og ottehundrede og tooghalvfjerds,0
18,tohundrede og niogfirs,0
19,ettusinde og nihundrede og fireogtreds,0
20,ettusinde og tohundrede og seksogfirs,0
21,firehundrede og tre,0
22,totusinde og tohundrede og nioghalvtreds,0
23,ottehundrede og femogfirs,0
24,ettusinde og sekshundrede og fireoghalvfjerds,0
25,firetusinde og femhundrede og syvoghalvfjerds,0
26,firetusinde og femhundrede og otteogtredive,0
27,ettusinde og syvhundrede og enoghalvfjerds,0
28,enogfirs,0
29,firehundrede og toogfyrre,0
30,firetusinde og syvhundrede og to,0
31,ettusinde og trehundrede og niogtreds,0
32,totusinde og trehundrede og tooghalvfems,0
33,ettusinde og nihundrede og firs,0
34,tretusinde og sekshundrede og femogtyve,0
35,ettusinde og tohundrede og enogtreds,0
36,totusinde og ethundrede og seksoghalvfjerds,0
37,totusinde og fireogtredive,0
38,ottehundrede og seksten,0
39,totusinde og femhundrede og fireogtreds,0
40,totusinde og ottehundrede og enogtredive,0
41,ettusinde og tohundrede og seks,0
42,totusinde og femhundrede og femoghalvtreds,0
43,firetusinde og tohundrede og seks,0
44,ettusinde og enogtreds,0
45,totusinde og syvhundrede og fire,0
46,ettusinde og firehundrede og seksoghalvfjerds,0
47,tretusinde og ethundrede og seksogfirs,0
48,ettusinde og fireoghalvfjerds,0
49,totusinde og ethundrede og treogfyrre,0
50,nihundrede og tredive,0
51,ettusinde og trehundrede og tolv,0
52,firetusinde og tohundrede og femten,0
53,totusinde og tohundrede og tre,0
54,syvhundrede og otteoghalvfjerds,0
55,ettusinde og seksogfyrre,0
56,totusinde og nihundrede og toogfirs,0
57,firetusinde og ottehundrede og atten,0
58,firetusinde og ethundrede og niogtredive,0
59,tretusinde og ottehundrede og enogtredive,0
60,ethundrede og treogfyrre,0
61,tretusinde og atten,0
62,firetusinde og syvoghalvfjerds,0
63,tretusinde og firehundrede og treoghalvtreds,0
64,tretusinde og femhundrede og tyve,0
65,ottehundrede og femogfirs,0
66,atten,0
67,totusinde og femogtreds,0
68,firetusinde og tohundrede og nioghalvfems,0
69,firetusinde og treogfirs,0
70,firetusinde og firehundrede og tretten,0
71,tretusinde og sekshundrede og treogfirs,0
72,otte,0
73,ettusinde og firehundrede og atten,0
74,totusinde og ottehundrede og enogtyve,0
75,ettusinde og firehundrede og syvoghalvfjerds,0
76,firetusinde og ethundrede og fireoghalvtreds,0
77,firetusinde og ethundrede og seksogtreds,0
78,firetusinde og femhundrede og treoghalvtreds,0
79,firehundrede og seksogtyve,0
80,ettusinde og ottehundrede og enoghalvfems,0
81,ettusinde og niogtreds,0
82,totusinde og syvhundrede og syvogfirs,0
