,nums,labels
0,seven hundred and sixty; six hundred and seventy three,0
1,seventy three; five hundred and ninety three,1
2,five hundred and forty two; six hundred and seventy six,1
3,two hundred and eighty four; two hundred and eighty five,1
4,thirty six; nine hundred and ninety eight,1
5,four hundred and four; four hundred and seven,1
6,two hundred and ninety three; five hundred and eighty nine,1
7,eleven; seven hundred and thirty nine,1
8,two hundred and seventeen; seven hundred and four,1
9,six hundred and twenty four; four hundred and twenty eight,0
10,four hundred and eighty eight; nine hundred and ninety three,1
11,one hundred and eighty six; six hundred and seventy,1
12,three hundred and seventy three; five hundred and six,1
13,three hundred and eighty two; six hundred,1
14,three hundred and ninety nine; five hundred and four,1
15,twenty four; one hundred and sixty two,1
16,two hundred and eighty one; five hundred and five,1
17,eighty nine; four hundred and thirty six,1
18,seven hundred and fifty seven; four hundred and fifty four,0
19,five hundred and forty six; six hundred and fifty two,1
20,five hundred and seventy one; nine hundred and fifty seven,1
21,seven hundred and twenty; six hundred and thirty four,0
22,six hundred and eighty six; seven hundred and twenty seven,1
23,six hundred and forty five; one hundred and twenty five,0
24,five hundred and eighty; four hundred and fifty four,0
25,eight hundred and forty six; five hundred and thirty four,0
26,four hundred and seventy eight; one hundred and forty one,0
27,four hundred and thirty six; eight hundred and ten,1
28,six hundred and twenty one; six hundred and sixty three,1
29,two hundred and fifty five; forty four,0
30,four hundred and twenty nine; two hundred and sixty seven,0
31,twenty eight; six hundred and twenty,1
32,five hundred and thirty one; seven hundred and forty six,1
33,three hundred and ninety eight; eight hundred and eighty,1
34,three hundred and forty eight; two hundred and thirty nine,0
35,eight hundred and thirty four; five hundred and eleven,0
36,five hundred and fifty one; one hundred and five,0
37,four hundred and eighty seven; nine hundred and forty,1
38,one hundred and sixty; six hundred and three,1
39,seventy seven; nine hundred and one,1
40,nine hundred and fifty; two hundred and sixty one,0
41,eight hundred and ninety six; three hundred and ninety,0
42,one hundred and thirty one; one hundred and four,0
43,three hundred and thirty three; six hundred and eight,1
44,nine hundred and eight; eight hundred and eighty three,0
45,five hundred and sixty five; six hundred and sixty one,1
46,five hundred and seventy; four hundred and seventy three,0
47,five hundred and seventy six; eight hundred and forty one,1
48,three hundred and forty six; nine hundred and thirty eight,1
49,eight hundred and fifty eight; one hundred and forty eight,0
50,eight hundred and ninety two; eighteen,0
51,three hundred and eighty two; nine hundred and twenty eight,1
52,seven hundred and forty; seven hundred and fifty four,1
53,eight hundred and sixty nine; four hundred and fourteen,0
54,six hundred and six; three hundred and fifty two,0
55,four hundred and sixty; nine hundred and six,1
56,two hundred and seventy three; eighty three,0
57,forty five; seven hundred and sixty eight,1
58,two hundred; one hundred and thirty,0
59,nine hundred and seventy one; five hundred and forty four,0
60,two hundred and forty seven; two hundred and sixteen,0
61,two hundred and sixteen; two hundred and thirty three,1
62,eight hundred; three hundred and ninety five,0
63,seven hundred and sixty six; eight hundred and twenty four,1
64,five hundred and eighty nine; six hundred and eight,1
65,six hundred and twenty one; seven hundred and thirty seven,1
66,five hundred and sixty two; seven hundred and thirty six,1
67,sixty three; two hundred and forty seven,1
68,two hundred and seventy; nine hundred and thirty one,1
69,sixty eight; five hundred and seventy three,1
70,eight hundred and sixty nine; seven hundred and forty six,0
71,five hundred; seven hundred and thirty two,1
72,seven hundred and ninety eight; six hundred and forty one,0
73,seven hundred and forty five; one hundred and ninety three,0
74,two hundred and sixty seven; seven hundred and three,1
75,four hundred and ninety; seven hundred and eighteen,1
76,six hundred and forty six; two hundred and thirty two,0
77,nine hundred and sixty six; six hundred and fifteen,0
78,five hundred and sixty five; eight hundred and sixty three,1
79,eight hundred and seventy six; nine hundred and ninety three,1
80,seven hundred and fifty nine; two hundred and seventy six,0
81,one hundred and thirty one; seven hundred and sixteen,1
82,seven hundred and seventy seven; nine hundred and thirty two,1
83,five hundred and thirty one; one hundred and forty six,0
84,sixty four; six hundred and seventy six,1
85,nine hundred and seventy eight; four hundred and thirty six,0
86,two hundred and twenty nine; five hundred and eighty five,1
87,three hundred and four; four hundred and twenty four,1
88,eight hundred and seven; six hundred and ninety seven,0
89,three hundred and eighty two; seven hundred and seventy six,1
90,one hundred and twenty four; seven hundred and fifty five,1
91,seven hundred and twelve; three hundred and twenty six,0
92,fifty; six hundred and fifty seven,1
93,one hundred and sixty six; five hundred and sixty eight,1
94,two hundred and fifty three; three hundred and fifty five,1
95,two hundred and twenty two; eighty,0
