,nums,labels
0,six hundred and sixty two,0
1,one hundred and ten,0
2,six hundred and sixty eight,0
3,fifty two,0
4,one hundred and eighty three,0
5,one hundred and fifty three,0
6,eight hundred and sixty two,0
7,one hundred and twenty one,0
8,one hundred and forty six,0
9,five hundred and two,0
10,five hundred and fifty seven,0
11,five hundred and ninety one,0
12,five hundred and thirteen,0
13,seven hundred and fifty three,0
14,three hundred and thirty eight,0
15,ninety four,0
16,three hundred and seventy eight,0
17,three hundred and eighty eight,0
18,nine hundred and sixty eight,0
19,two hundred and twenty seven,0
20,one hundred and forty eight,0
21,eight hundred and thirty three,0
22,six hundred and sixty two,0
23,nine hundred and fifty three,0
24,three hundred and eighty eight,0
25,seven hundred and fifty,0
26,six hundred and forty,0
27,five hundred and twenty two,0
28,eight hundred and nine,0
29,one hundred and seventy six,0
30,sixty eight,0
31,five hundred and eighty seven,0
32,three hundred and seventy nine,0
33,one hundred and forty two,0
34,seven hundred and twenty seven,0
35,five hundred and one,0
36,nine hundred and ninety four,0
37,five hundred and nineteen,0
38,five hundred and ninety six,0
39,seventy nine,0
40,five hundred and thirty three,0
41,five hundred and twenty two,0
42,six hundred and sixty,0
43,one hundred and seven,0
44,four hundred and twenty two,0
45,eight hundred and sixty two,0
46,four hundred and two,0
47,seven hundred and seventy eight,0
48,three hundred and thirty four,0
49,seventy seven,0
50,five hundred and fifty,0
51,six hundred and seventy two,0
52,four hundred and fifty three,0
53,four hundred and seventy six,0
54,two hundred and forty six,0
55,six hundred and twenty eight,0
56,nine hundred and fifty five,0
57,nine hundred,0
58,six hundred and fifty one,0
59,two hundred and eighty eight,0
60,ninety three,0
61,three hundred and twenty five,0
62,nine hundred and forty,0
63,five hundred and fifteen,0
64,nine hundred,0
65,eight hundred and thirteen,0
66,four hundred and forty two,0
67,eight hundred and sixty eight,0
68,one hundred and twenty one,0
69,seven hundred and twenty eight,0
70,one hundred and ninety five,0
71,two hundred and twenty two,0
72,one hundred and forty three,0
73,eight hundred and forty two,0
74,four hundred and thirty nine,0
75,three hundred and fifty eight,0
76,five hundred and twenty four,0
77,seven hundred,0
78,one hundred and eighty three,0
79,six hundred and seventy five,0
80,six hundred and thirty three,0
81,one hundred and seventy five,0
82,twenty six,0
83,seven hundred and sixty one,0
84,sixty six,0
85,three hundred and fifty nine,0
86,fifty eight,0
87,four hundred and sixteen,0
88,eight hundred and eighty five,0
89,three hundred and thirty two,0
90,four hundred and thirty two,0
91,seven hundred and sixty two,0
92,four hundred and thirty four,0
93,three hundred and forty nine,0
94,one hundred and seventy four,0
95,eighty nine,0
96,three hundred and seventeen,0
97,five,0
98,five hundred and sixty,0
99,six hundred and fifty six,0
100,four hundred and thirty eight,0
101,four hundred and thirteen,0
102,six hundred and four,0
103,seven hundred and forty one,0
104,five hundred and eight,0
105,eight hundred and thirty eight,0
106,one hundred and fifty nine,0
107,three hundred and three,0
108,six hundred and eighty one,0
109,eight hundred and fifty three,0
110,nine hundred and three,0
111,five hundred and thirty,0
112,seven hundred and fifty one,0
113,five hundred and fifty one,0
114,one hundred and twenty nine,0
115,six hundred and thirty six,0
116,two hundred and fifty two,0
117,sixty,0
118,one hundred and seven,0
119,eight hundred and ninety,0
120,eight hundred and sixteen,0
121,three hundred and seventy two,0
122,four hundred and one,0
123,four hundred and sixty six,0
124,three hundred and fifty two,0
125,five hundred and nine,0
126,four hundred and sixty two,0
127,six hundred and sixty seven,0
128,seven hundred and fifty five,0
129,six hundred and thirty,0
130,six hundred and seven,0
131,two hundred and seventy nine,0
132,seventy six,0
133,eight hundred and twenty seven,0
134,one hundred and forty five,0
135,two hundred and thirty three,0
136,two hundred and ninety one,0
137,three hundred and eighty one,0
138,nine hundred and forty eight,0
139,five hundred and sixty,0
140,two hundred and eighty three,0
141,six hundred and fifty,0
142,six hundred and forty one,0
143,five hundred and eleven,0
144,seven hundred and thirty one,0
145,nine hundred and twenty nine,0
146,twenty eight,0
147,seven hundred and sixteen,0
148,seven hundred and ninety six,0
149,nine hundred and forty nine,0
150,four hundred and forty five,0
151,six hundred and forty three,0
152,five hundred and twenty eight,0
153,seven hundred and eighty five,0
154,four hundred and seventy five,0
155,one hundred and fifty,0
156,four hundred and twenty four,0
157,six hundred and three,0
158,one hundred and twenty five,0
159,six hundred and ten,0
160,eight hundred and ninety two,0
161,eight hundred and sixty nine,0
162,nine hundred and fifty three,0
163,nine hundred and thirty one,0
164,three hundred and fifty seven,0
165,eight hundred and fifty four,0
166,six hundred and twenty eight,0
167,four hundred and forty eight,0
168,nine hundred and forty six,0
169,three hundred and ten,0
170,two hundred and eighty five,0
171,four hundred and thirty six,0
172,eight hundred and sixteen,0
173,three hundred and forty six,0
174,six hundred and twenty seven,0
175,ninety two,0
176,five hundred and eighty three,0
177,one hundred and seventy three,0
178,five hundred and twenty six,0
179,one hundred and forty seven,0
180,nine hundred and fifty eight,0
181,ninety four,0
182,one hundred and twenty three,0
183,one hundred and ninety eight,0
184,six hundred and thirty four,0
185,one hundred and twenty six,0
186,six hundred and seventy eight,0
187,twelve,0
188,six hundred and thirty two,0
189,eight hundred and sixty one,0
190,nine hundred and ninety five,0
191,one hundred and seventy nine,0
192,five,0
193,two hundred and seventy six,0
194,six hundred and two,0
195,two hundred and seventy four,0
196,three hundred and sixty,0
197,two hundred and sixty seven,0
198,twenty eight,0
199,eight hundred and forty nine,0
200,seven hundred and forty six,0
201,two hundred and thirty one,0
202,forty one,0
203,eight hundred and twenty four,0
204,nine hundred and sixty,0
205,six,0
206,five hundred and eighty five,0
207,nine hundred and one,0
208,five hundred and twenty,0
209,five hundred and seven,0
210,three hundred and twenty two,0
211,two hundred and fifty two,0
212,two hundred and seventy four,0
213,one hundred and eighty six,0
214,eight hundred and ninety five,0
215,seven hundred and forty three,0
216,three hundred and two,0
217,eight hundred and forty six,0
218,four hundred and fifty nine,0
219,one hundred and seventy five,0
220,three hundred and ninety two,0
221,three hundred and thirty seven,0
222,seven hundred and twenty one,0
223,nine hundred and fourteen,0
224,four hundred and forty one,0
225,three hundred and fifty one,0
226,nine hundred and eighty four,0
227,thirty six,0
228,six hundred and ninety nine,0
229,five hundred and ninety two,0
230,three hundred and twenty,0
231,eighty one,0
232,five hundred and eighty five,0
233,four hundred and fifty one,0
234,four hundred and thirty six,0
235,one hundred and eleven,0
236,four hundred and fifty,0
237,three hundred and sixty six,0
238,two hundred and forty six,0
239,six hundred and sixty two,0
240,three hundred and fifteen,0
241,seven hundred and thirteen,0
242,five hundred and thirty three,0
243,seven hundred and five,0
244,five hundred and twelve,0
245,nine hundred and thirty three,0
246,one hundred and eighteen,0
247,three hundred and sixty eight,0
248,eight hundred and ninety six,0
249,two hundred and ten,0
250,nine hundred and fifty nine,0
251,six hundred and seventy one,0
252,four hundred and thirty four,0
253,one hundred and thirty seven,0
254,three hundred and thirty five,0
255,eight hundred and eleven,0
256,seven hundred and forty seven,0
257,two hundred and thirty eight,0
258,six hundred and fifty seven,0
259,five hundred and nineteen,0
260,one hundred and forty three,0
261,eight hundred and ninety,0
262,three hundred and eighty seven,0
263,one hundred and thirty six,0
264,six hundred and sixty five,0
265,four hundred and four,0
266,three hundred and eighty six,0
267,seven hundred and ninety eight,0
268,seven hundred and forty four,0
269,four hundred and two,0
270,one hundred and fifty three,0
271,three hundred and seventy seven,0
272,three hundred and ninety six,0
273,one hundred and fifty three,0
274,eight hundred and one,0
275,four hundred and ninety one,0
276,seven hundred and forty two,0
277,one hundred and eleven,0
278,five hundred and sixty four,0
279,eight hundred and ninety two,0
280,three hundred and sixty eight,0
281,six hundred and nineteen,0
282,five hundred and twenty eight,0
283,seven hundred and thirty five,0
284,five hundred and ten,0
285,one hundred and seventy one,0
286,seven hundred and twenty five,0
287,eight hundred and sixty six,0
288,five hundred and sixty one,0
289,one hundred and fifty seven,0
290,thirty nine,0
291,forty two,0
292,two hundred and sixty two,0
293,four hundred and sixty eight,0
294,five hundred and forty two,0
295,eight hundred and fifty five,0
296,two hundred and thirty five,0
297,six hundred and eighty five,0
298,six hundred and eighty seven,0
299,nine hundred and ten,0
300,eight hundred and fifty six,0
301,two hundred and ten,0
302,eight hundred and eight,0
303,two hundred and twenty two,0
304,one hundred and seventy four,0
305,forty nine,0
306,three hundred and thirty eight,0
307,nine hundred and sixty five,0
308,seven hundred and fifty five,0
309,five hundred and sixty three,0
310,five hundred and ninety,0
311,nine hundred and fifteen,0
312,three hundred and forty seven,0
313,six hundred and twenty two,0
314,three hundred and sixty two,0
315,seven hundred and sixteen,0
316,five hundred and fifteen,0
317,six hundred and ninety eight,0
318,nine hundred and seventy seven,0
319,four hundred and forty nine,0
320,eight hundred and twenty seven,0
321,three hundred and ninety nine,0
322,nine hundred and seventy eight,0
323,five hundred and seventy four,0
324,eight hundred and sixteen,0
325,seven hundred and ninety nine,0
326,five hundred and eighty nine,0
327,four hundred and seventy three,0
328,six hundred and thirty seven,0
329,four hundred and thirty seven,0
330,four hundred and seventy seven,0
331,six hundred and five,0
332,four hundred and sixty six,0
333,one hundred and forty three,0
334,one hundred and eighteen,0
335,five hundred and eighty one,0
336,one hundred and twenty three,0
337,four hundred and thirty six,0
338,six hundred and fifteen,0
339,nine hundred and sixty,0
340,nine hundred and twenty nine,0
341,eight hundred and sixty seven,0
342,two hundred and one,0
343,nine hundred and sixty seven,0
344,three hundred and ninety nine,0
345,five hundred and thirty nine,0
346,nine hundred and seventy eight,0
347,four hundred and fifty three,0
348,seven hundred and eighty five,0
349,two hundred and seventy,0
350,eight hundred and eighty seven,0
351,one hundred and twenty five,0
352,nine hundred and fifteen,0
353,seventy three,0
354,four hundred and sixty six,0
355,four hundred and sixty nine,0
356,eight hundred and forty,0
357,eight hundred and thirteen,0
358,eight hundred and fifty,0
359,six hundred and eighty four,0
360,five hundred and sixty three,0
361,nine hundred and twenty,0
362,three hundred and ninety five,0
363,six hundred and eighty,0
364,one hundred and fifty six,0
365,two hundred and sixty four,0
366,nine hundred and thirty nine,0
367,nine hundred and thirty seven,0
368,eight hundred and fifteen,0
369,seven hundred and twelve,0
370,seven hundred and thirty seven,0
371,forty three,0
372,two hundred and ninety one,0
373,seven hundred and thirty,0
374,nine hundred and eighty six,0
375,six hundred and seventy seven,0
376,one hundred and eighty three,0
377,three hundred and seventy five,0
378,eighty four,0
379,two hundred and three,0
380,nine hundred and ninety three,0
381,two hundred and ten,0
382,five hundred and sixty two,0
383,five hundred and ninety three,0
384,nine hundred and eleven,0
385,four hundred and nineteen,0
386,three hundred and seventy one,0
387,one hundred,0
388,three hundred and eighty six,0
389,five hundred and nine,0
390,four hundred and ninety three,0
391,six hundred and seventy eight,0
392,five hundred and fifty four,0
393,six hundred and sixty seven,0
394,three hundred and seventy,0
395,seven hundred and seventy,0
396,five hundred and ninety,0
397,five hundred and fifty four,0
398,two hundred and thirty eight,0
399,four hundred and eighty eight,0
400,five hundred and two,0
401,four hundred and ten,0
402,seven hundred and sixty,0
403,one hundred and six,0
404,ninety eight,0
405,seven hundred and eighty six,0
406,two hundred and thirty four,0
407,three hundred and seventy nine,0
408,three hundred and seventy two,0
409,nine hundred and seventeen,0
410,nine hundred,0
411,one hundred and fifty two,0
412,twenty,0
413,eight hundred and fifty four,0
414,seven hundred and seventy four,0
415,nine hundred and eleven,0
416,thirty eight,0
417,six hundred and ninety nine,0
418,eight hundred and forty three,0
419,three hundred and ten,0
420,two hundred and forty three,0
421,nine hundred and eighty seven,0
422,seven hundred and ninety seven,0
423,one hundred and twenty three,0
424,five hundred and fifty,0
425,six hundred and twenty four,0
426,sixty three,0
427,seven hundred and fifty two,0
428,five hundred and thirty seven,0
429,one hundred and twenty nine,0
430,nine hundred and thirty,0
431,eight,0
432,seventy nine,0
433,eight hundred and fifty three,0
434,nine hundred and sixty five,0
435,one hundred and fifty six,0
436,four hundred and seventy eight,0
437,six hundred and seventy two,0
438,five hundred and fifty three,0
439,two hundred and seventy seven,0
440,three hundred and seventy eight,0
441,two hundred and sixty three,0
442,five hundred and sixty four,0
443,six hundred and twenty nine,0
444,two hundred and four,0
445,fifty six,0
446,nine hundred and fifty four,0
447,one hundred and thirty,0
448,six hundred and sixty seven,0
449,eight hundred and thirty,0
450,six hundred and twenty seven,0
451,sixteen,0
452,three hundred and ninety two,0
453,one hundred and sixty five,0
454,eight hundred and sixty two,0
455,nine hundred and thirty seven,0
456,seven hundred and one,0
457,four hundred and seventy two,0
458,two hundred and fifty six,0
459,two hundred and ninety five,0
460,six hundred and seventy one,0
461,three hundred and nine,0
462,nine hundred and seventy eight,0
463,five hundred and sixty three,0
464,two hundred and two,0
465,two hundred and twenty four,0
466,eighty one,0
467,five hundred and seventy four,0
468,eight hundred and eleven,0
469,nine hundred and five,0
470,one hundred and twelve,0
471,forty four,0
472,twenty two,0
473,six hundred and fifty two,0
474,eight hundred and forty seven,0
475,two hundred and sixteen,0
476,eight hundred and ninety one,0
477,three hundred and fifty three,0
478,six hundred and sixty one,0
479,five hundred and sixty five,0
480,four hundred and thirty nine,0
481,eight hundred and sixty five,0
482,ten,0
483,three hundred and thirty one,0
484,thirteen,0
485,one hundred and two,0
486,six hundred and four,0
487,seven hundred and sixty eight,0
488,nine hundred and ninety eight,0
489,one hundred and forty nine,0
490,five hundred and four,0
491,eight hundred and eighty six,0
492,nine hundred and twenty nine,0
493,eight hundred and fifty six,0
494,four hundred and twenty eight,0
495,one hundred and forty six,0
496,one hundred and thirty seven,0
497,seven hundred and fifty five,0
498,four hundred and thirty one,0
499,three hundred and fifty four,0
500,four hundred and fourteen,0
