,nums,labels
0,quatre mille sept cent cinquante et un; mille quatre cent cinquante six,0
1,mille neuf cent trente sept; mille sept cent quarante et un,0
2,neuf cent soixante seize; quarante huit,0
3,mille cinq cent douze; deux mille six cent cinquante,1
4,deux mille soixante dix sept; trois mille deux cent quatre vingt dix neuf,1
5,cent trente six; cent neuf,0
6,huit cent quatre vingt un; sept cent cinquante cinq,0
7,mille cent quatre vingt quatre; quatre cent quarante trois,0
8,trois mille trois cent quatre vingt douze; mille deux cent soixante cinq,0
9,mille neuf cent quatre vingt dix sept; quatre mille trois cent quatre vingt sept,1
10,deux mille huit cent quarante huit; deux mille deux cent soixante neuf,0
11,trois cent quarante huit; trois mille quatre cent quarante quatre,1
12,quatre mille sept cent quatre vingt quinze; quatre cent vingt trois,0
13,neuf cent quatre vingt douze; quatre mille sept cent quatre vingt dix sept,1
14,quatre mille six cent quarante et un; quatre mille six cent trente et un,0
15,quatre mille trente deux; quatre mille trois cent vingt et un,1
16,deux cent trente trois; deux mille quatre cent quatre vingt huit,1
17,quatre mille cinq cent vingt et un; deux mille soixante douze,0
18,deux mille huit cent soixante dix neuf; sept cent cinquante sept,0
19,mille six cent quarante; six cent quarante six,0
20,trois mille neuf cent vingt et un; mille sept cent quatre vingt quatre,0
21,deux mille trois cent soixante six; deux mille quatre cent dix neuf,1
22,deux mille quatre vingt dix; six cent quarante huit,0
23,deux mille neuf cent trente neuf; mille sept cent vingt quatre,0
24,quatre mille trois cent quarante; mille soixante quinze,0
25,deux mille trente cinq; cinq cent vingt huit,0
26,cent soixante deux; deux mille cinq cent vingt six,1
27,cent quarante six; quatre cent quatre vingt neuf,1
28,deux mille sept cent vingt neuf; mille trois cent cinquante six,0
29,mille trois cent trente neuf; deux mille deux cent cinquante et un,1
30,deux mille cinq cent trente et un; trois mille neuf cent sept,1
31,deux mille trois cent soixante deux; vingt trois,0
32,deux mille huit cent treize; mille cinquante sept,0
33,mille deux cent quatre vingt quatorze; trois mille cinq cent treize,1
34,quatre mille cent quarante cinq; deux mille six cent quatre vingt dix,0
35,deux mille cinq cent quatre; quatre mille deux cent cinquante neuf,1
36,quatre mille six cent vingt quatre; deux mille huit cent cinquante et un,0
37,deux mille trois cent trente six; quatre cent vingt quatre,0
38,mille sept cent quatre vingt dix sept; trois mille six cent trente,1
39,quatre mille deux cent trente cinq; trois mille trois cent seize,0
40,quatre mille huit cent quatre vingts; deux mille neuf cent vingt neuf,0
41,sept cent vingt sept; quatre mille cent soixante deux,1
42,trois mille cent quatre vingt quatre; mille six cent quatre vingt quinze,0
43,sept cent trente quatre; quatre mille quatre cent huit,1
44,quatre cent vingt six; mille quatre cent quatorze,1
45,deux mille vingt six; mille quatre vingt deux,0
46,quatre mille six cent quatre vingt dix; deux mille quarante neuf,0
47,mille trois cent trente huit; mille sept cent vingt neuf,1
48,quatre mille cinq cent treize; trois mille six cent quarante neuf,0
49,mille huit cent vingt; quatre cent soixante treize,0
50,trois mille cinquante cinq; trois mille cinq cent quarante quatre,1
51,mille six cent quatre; mille sept cent soixante seize,1
52,deux cent neuf; trois mille deux cent quatre vingt neuf,1
53,deux mille cinq cent quatre vingt quatre; mille trois cent vingt cinq,0
54,huit cent soixante sept; deux mille quarante huit,1
55,quatre mille cent quatre vingt trois; quatre mille deux cent sept,1
56,mille neuf cent trente sept; deux mille neuf cent soixante dix sept,1
57,deux mille cinq cent trente neuf; deux mille six cent vingt quatre,1
58,quatre mille huit cent quatre vingt quinze; deux mille quatre cent six,0
59,quatre mille huit cent cinq; deux cent cinq,0
60,sept cent soixante quatre; quatre cent quatre vingt onze,0
61,deux mille treize; quatre mille six cent quarante neuf,1
62,mille sept cent soixante neuf; cent quatre vingt trois,0
63,trois mille trente quatre; mille cent soixante dix neuf,0
64,mille six cent quatre vingt treize; sept cent trente six,0
65,trois cent quatre vingt onze; quatre mille cinq cent trente quatre,1
66,deux cent quatre vingt seize; quatre mille quatre cent neuf,1
67,mille seize; quatre mille huit cent soixante dix sept,1
68,trois mille cinq cent trente deux; deux mille sept cent quatre vingt neuf,0
69,deux mille neuf cent soixante douze; trois mille quatre vingt sept,1
70,mille neuf cent cinquante six; mille sept cent quatre vingt treize,0
71,trois mille deux cent quatre vingt quatre; trois mille cent quarante cinq,0
72,huit cent vingt et un; quatre mille cent soixante dix sept,1
73,deux cent quarante; trois mille huit cent soixante quatorze,1
74,quatre mille cent quinze; quatre mille quatre cent quatre vingt quatorze,1
75,deux mille cent quatre vingt onze; trois mille cinq cent dix,1
76,deux mille trois cent soixante; deux mille cinq cent treize,1
77,mille sept cent soixante dix sept; deux mille six cent soixante huit,1
78,deux mille huit cent soixante quatorze; mille soixante douze,0
79,mille six cent cinquante; mille quatre cent soixante seize,0
80,trois mille quatre cent quatre vingt deux; quatre mille neuf cent soixante trois,1
81,mille sept cent trente huit; quatre mille six cent cinq,1
82,quatre mille huit cent cinquante sept; deux mille neuf cent onze,0
83,sept cent quatre vingt huit; mille cent quatre,1
84,mille huit cent cinquante; trois cent quatre vingt quinze,0
85,deux mille vingt; deux mille deux cent vingt trois,1
86,deux mille vingt trois; mille cent quarante quatre,0
87,sept cent soixante sept; trois mille neuf cent cinquante sept,1
88,huit cent onze; trois mille trois cent trente cinq,1
89,mille six cent trente et un; mille huit cent quatre vingt onze,1
90,quatre mille deux cent quatre vingt onze; deux mille sept cent huit,0
91,mille trois cent soixante et onze; cent vingt huit,0
92,quatre mille cent quarante sept; quatre mille six cent quatre,1
93,mille huit cent quatre vingt quatorze; trois mille cent cinquante deux,1
94,trois mille cinq cents; quatre mille huit cent soixante,1
95,trois mille neuf cent quatre vingt dix neuf; quatre vingt dix sept,0
96,mille huit cent trente six; quatre mille sept cent quatre vingt onze,1
97,quatre mille sept cent soixante et onze; mille neuf cent quarante trois,0
98,trois mille trois cent cinquante et un; deux mille deux cent soixante,0
99,trois mille soixante quinze; deux mille quatre cent soixante seize,0
100,mille six cent quarante neuf; neuf cent neuf,0
101,deux mille huit cents; mille cinq cent vingt deux,0
102,mille soixante dix sept; deux mille sept cent quatre vingt dix huit,1
103,trois mille douze; trois cent quatre vingt seize,0
104,cent vingt trois; quatre mille neuf cent dix sept,1
105,quatre cent quatre vingt un; sept cent soixante six,1
106,trois cent trois; deux mille quatre cent trente trois,1
107,quatre mille neuf cents; quatre cent cinquante neuf,0
108,trois mille neuf cent trois; trois mille cent sept,0
109,deux mille six cent trente deux; quatre mille quatre cent quatre vingt quatorze,1
110,deux mille sept cent cinquante sept; deux mille cent six,0
111,quatre mille huit cent quatorze; mille trois cent cinquante sept,0
112,mille cent soixante quatorze; deux mille sept cent soixante huit,1
113,mille huit cent vingt trois; deux mille deux cent cinquante quatre,1
114,cinq cent quarante sept; quatre vingt quinze,0
115,deux mille sept cent dix; mille sept cent quatre vingt deux,0
116,deux mille huit cent soixante et onze; cinq cent quatre vingt un,0
