,nums,labels
0,trois mille six cent seize,0
1,deux mille vingt trois,0
2,mille cent soixante quinze,0
3,deux cent quarante quatre,0
4,mille quatre,0
5,deux mille sept cent seize,0
6,deux mille deux cent trente,0
7,deux mille soixante quinze,0
8,neuf cent quatre vingt dix,0
9,soixante trois,0
10,quatre mille trois cent quarante neuf,0
11,trois mille deux cent quatre vingt deux,0
12,trois mille cent trente et un,0
13,trois cent cinquante cinq,0
14,quatre mille six cent quatre vingt seize,0
15,trois mille vingt sept,0
16,quatre mille deux cent cinquante quatre,0
17,mille cent vingt,0
18,deux mille quarante huit,0
19,deux mille cent trente huit,0
20,quatre vingt dix neuf,0
21,quatre mille sept cent quatre vingt treize,0
22,huit cent neuf,0
23,cent trente deux,0
24,quatre mille quatre cent trente sept,0
25,trois mille neuf cent soixante quatre,0
26,deux mille cinquante cinq,0
27,trois mille cinq cent soixante quatorze,0
28,quatre mille quarante neuf,0
29,quatre mille deux cent vingt cinq,0
30,mille huit cent quarante et un,0
31,trois mille quatre vingt dix huit,0
32,quatre mille sept cent douze,0
33,trois mille deux,0
34,deux mille trente,0
35,quatre mille deux cent quarante sept,0
36,trois cent un,0
37,deux mille trois cent quatre vingt six,0
38,mille huit cent quatre vingt quatre,0
39,trois mille quatre cent trente,0
40,deux mille quatre cent soixante cinq,0
41,mille six cent onze,0
42,deux mille six cent trente cinq,0
43,huit cent quinze,0
44,deux mille quatre cent quatre vingt dix neuf,0
45,quatre mille quatre cent quatre vingt trois,0
46,trois mille sept cent trente sept,0
47,mille six,0
48,quatre mille sept cent onze,0
49,trois mille neuf cent soixante et onze,0
50,mille quatre cent trente sept,0
51,deux mille deux cent onze,0
52,trois mille deux cent trente et un,0
53,trois mille deux cent vingt trois,0
54,trois mille deux cent onze,0
55,deux mille huit cent quatre vingt treize,0
56,deux mille six cent un,0
57,six cent trente trois,0
58,mille six,0
59,trois mille neuf cent quarante neuf,0
60,quatre mille quatre cent soixante et onze,0
61,quatre mille deux cent vingt cinq,0
62,quatre cent soixante dix huit,0
63,quatre mille quatre cent soixante neuf,0
64,mille deux cent cinquante huit,0
65,trois mille quatre vingt six,0
66,quatre mille huit cent dix,0
67,quatre mille quatre cent trente et un,0
68,mille neuf cent soixante deux,0
69,mille cinq cent quarante neuf,0
70,deux mille neuf cent quarante sept,0
71,trois mille six cent soixante dix,0
72,trois mille trois cent trente sept,0
73,mille cinq cent cinquante quatre,0
74,mille deux cent quatre vingt dix,0
75,quatre cent quatre vingt quatre,0
76,cinq cent cinquante neuf,0
77,trois mille cinq cent cinquante cinq,0
78,mille trois cent soixante quatorze,0
79,mille trente sept,0
80,mille sept cent quatre vingt un,0
81,mille quatre cent cinq,0
82,quatre mille cinq cent trente et un,0
83,six cent dix huit,0
84,mille neuf cent soixante huit,0
85,trois mille treize,0
86,cent vingt deux,0
87,mille six cent quinze,0
88,quatre mille deux cent soixante dix sept,0
89,quatre mille cent soixante sept,0
90,deux mille quatre cent soixante,0
91,trois mille neuf cent quatre vingt douze,0
92,quatre mille deux cent dix neuf,0
93,deux mille deux cent soixante sept,0
94,quatre mille huit cent neuf,0
95,deux cent sept,0
96,mille sept cent cinquante deux,0
97,deux mille sept cent trente cinq,0
98,mille huit cent trente sept,0
99,deux mille trois cent un,0
100,quatre mille cent soixante sept,0
101,deux mille cinq cent trente quatre,0
102,sept cent quatre vingt dix neuf,0
103,mille deux cent cinquante six,0
104,deux mille quatre cent quatre vingt dix sept,0
105,cinq cent trente,0
106,trois mille cinq cent quatre vingt dix neuf,0
107,mille trois cent cinquante neuf,0
108,cent quatre vingts,0
109,mille six cent cinquante et un,0
110,quatre mille huit cent seize,0
111,deux mille neuf cent quatre vingt deux,0
112,six cent trente,0
113,quatre mille six cent quatre vingt cinq,0
114,trois mille six cent dix,0
115,trois mille cent quatre vingt dix neuf,0
116,trois mille six cent quarante six,0
117,huit cent quarante huit,0
118,cent soixante trois,0
119,mille cinq cent soixante cinq,0
120,mille quatre cent quarante huit,0
121,mille cent soixante dix,0
122,trois mille cent quarante,0
123,deux mille six cent quarante six,0
124,neuf cent quatre vingt sept,0
125,quatre mille cent sept,0
126,deux mille cinq cent trente,0
127,deux mille trois cent quatre vingt huit,0
128,quatre mille trois cent vingt sept,0
129,deux mille cent deux,0
130,mille quatre cent quatre vingt huit,0
131,trois cent soixante neuf,0
132,mille sept cent quatre vingt quatre,0
133,huit cent cinquante cinq,0
134,trois mille deux cent trente neuf,0
135,quatre mille cinquante deux,0
