,nums,labels
0,八百七十三; 五百三十九,0
1,九百二十九; 八百六十九,0
2,五百五十四; 百三十八,0
3,六百十九; 八百六十八,1
4,七百四十四; 四百十五,0
5,八百五十四; 九百九十,1
6,七十三; 二百七十,1
7,四百二十; 二百九十六,0
8,八百九十七; 九百三十九,1
9,二百二十八; 八百六十二,1
10,八百四十一; 五百八十五,0
11,九百七十二; 百七十八,0
12,二百; 五十一,0
13,二百七十七; 八十八,0
14,百二; 百七十五,1
15,三百二十一; 四百七十七,1
16,六百六十六; 九百三十四,1
17,十三; 三百十二,1
18,七百五十七; 三百五十一,0
19,五百八十三; 六百七十五,1
20,四百八十七; 六,0
21,百二十三; 百二十七,1
22,七百七十五; 三百四,0
23,二百十九; 七百二,1
24,六百九; 五百六十一,0
25,九百八十九; 二十六,0
26,百二十七; 九百六十,1
27,二百八; 五百八十五,1
28,二百四十二; 九百七十一,1
29,七百七十八; 百五十五,0
30,百七十; 二百二,1
31,五百七十四; 百八十七,0
32,三百三十九; 四百八十五,1
33,五百十四; 六百六十七,1
34,九百十四; 四十二,0
35,五百十五; 三百二十七,0
36,五百一; 九百五十三,1
37,六百八十八; 六百六十一,0
38,四百四十二; 五百三十一,1
39,二百七十六; 六百二十二,1
40,四百八十; 三百五十三,0
41,六百七十一; 五百二十八,0
42,二百十六; 三十一,0
43,二百二十八; 四百四十四,1
44,六百三十三; 六十一,0
45,四百九十五; 百二十,0
46,七百六十二; 六百七十九,0
47,三百八十四; 七百十一,1
48,四百八十六; 九百二十三,1
49,百九十九; 九百五,1
50,六十七; 五百八十七,1
51,九十九; 七百八十五,1
52,百十五; 九百二十一,1
53,四百七十九; 三百八十一,0
54,七百十; 三百三十九,0
55,百十七; 三百四十四,1
56,六百七十六; 五百五十六,0
57,百十三; 五百三十八,1
58,五百二十四; 九百八十五,1
59,二百五十二; 八百三十,1
60,五百五十四; 八百十三,1
61,九百十二; 二百九十一,0
62,五百十; 百六十二,0
63,二百二十三; 百三十九,0
64,八百七十七; 八百六十六,0
65,三百四十八; 百五十一,0
66,三百八十八; 八百四十三,1
67,八百十九; 二百十四,0
68,八百七十; 四百五十五,0
69,九百三; 九百八十七,1
70,百九十; 百九十三,1
71,五百五十九; 三百七十六,0
72,二百十七; 五百六十一,1
73,五百九十七; 九百五十六,1
74,二百七十四; 八百八十五,1
75,六百九十八; 九百九十,1
76,六百七; 五,0
77,五百一; 七百七十四,1
78,九百九十一; 五百三十,0
79,四十; 三百三十,1
80,百七十二; 九百四十四,1
81,百五十二; 八百十六,1
82,六百七十五; 七百七,1
83,六百五十三; 四十,0
84,六十七; 百九十三,1
85,百四十四; 八百六十三,1
86,八百八十三; 八百四十五,0
87,九百六十七; 三百二十七,0
88,八百十五; 五百二十三,0
89,四十六; 七百三十八,1
90,百五十二; 四百六十六,1
91,七百九十四; 百四,0
92,四百四十七; 六百三十三,1
93,二百二十八; 十,0
94,九百七十四; 二百二十,0
95,八百四十三; 七百三十八,0
96,四百十八; 四百九十三,1
97,六十七; 六百四十一,1
98,五百二十; 七百七十三,1
99,百三十八; 六百八十八,1
100,六十六; 七百五十四,1
101,九十四; 五百六,1
102,七百二十九; 八百五,1
103,四十八; 三百八十二,1
104,六百五十四; 百八十四,0
105,六百二十五; 四百八十四,0
106,三百六十; 二百九,0
107,七百六十五; 九百四十,1
108,四百七十六; 百六十九,0
109,三百七十四; 四十六,0
110,三百六十七; 九百二十五,1
111,九百九; 二百六十八,0
112,五百二十九; 六百二十五,1
113,六十八; 二百四十九,1
114,四百三十六; 三百七十二,0
115,三百九十五; 六百七十八,1
116,五百十一; 七百十三,1
117,四百十; 二百十二,0
118,百七十四; 百六十九,0
119,五百十七; 八百十一,1
120,九百六十五; 四百七十五,0
121,六百九十八; 八百二十一,1
122,四百四十三; 四百三十五,0
123,九百九十五; 五百九十二,0
124,七十九; 九百七十一,1
125,二百三十一; 三百八十七,1
126,二百十七; 二百九十一,1
127,九百三十四; 七百八十六,0
128,八百十二; 六百十三,0
129,百七十一; 九十五,0
130,五百二十一; 四百二十二,0
131,八百七十六; 七百六十,0
132,五百五十五; 五百三十七,0
133,八十二; 六百九十五,1
134,七百七; 七百二十六,1
135,三百八十七; 八百八十,1
136,六百四十五; 四百七十三,0
137,九百八十三; 八百四十,0
138,六百九十八; 五百七十五,0
139,三百四十五; 八百八十三,1
140,三百四十二; 八百五十七,1
141,九百二; 四百六,0
142,五百五十一; 四百九十五,0
143,六十二; 九百八十八,1
144,三百二十三; 三百十一,0
145,二百八十八; 九百一,1
146,百八十三; 九十九,0
147,三十二; 九百十六,1
148,七十; 五十八,0
149,七百五十六; 二百六十五,0
150,百四十七; 九百六十一,1
151,百七十七; 八百五十四,1
152,八百二十一; 百三十五,0
153,七百八; 二百,0
154,三百三十; 九百七十五,1
