,nums,labels
0,三千七百九十七,0
1,二千三百四十五,0
2,三千六百十八,0
3,千九百四十,0
4,六百三十七,0
5,二千三百三十七,0
6,三百二十,0
7,千七十五,0
8,三百二十,0
9,二千四百三,0
10,三千三十,0
11,八十五,0
12,四千三百八十三,0
13,七百八十,0
14,六百九十六,0
15,二千八百九,0
16,九百九十一,0
17,千百十五,0
18,三千六百五十,0
19,千二十四,0
20,三千三百十四,0
21,四千六百八十,0
22,二百九十三,0
23,四十六,0
24,三千十一,0
25,五百二十八,0
26,三千五百十四,0
27,六百十二,0
28,二千六百九十九,0
29,五百九十二,0
30,三千百六十九,0
31,五百八,0
32,三百八十三,0
33,千三百三十二,0
34,二千四百五,0
35,百五十四,0
36,四千百二十三,0
37,四百三十,0
38,八,0
39,二千五百二十二,0
40,二千,0
41,四千四百七十八,0
42,七百四十二,0
43,六百六十二,0
44,二千七百八十,0
45,三千四百四十四,0
46,百四十八,0
47,三千六十二,0
48,千二百九十二,0
49,二千二百九十五,0
50,三千三百九十八,0
51,三千六百九十八,0
52,三千二百十,0
53,千六百五十九,0
54,四千百七十一,0
55,三千三百九十二,0
56,二千六百七十五,0
57,三千五百六十四,0
58,五百二十二,0
59,九百六十九,0
60,二千五百三十五,0
61,三千七百六十四,0
62,二千二百七,0
63,三千二百七十八,0
64,三千四百八十,0
65,二千九百九十三,0
66,三千三百九十八,0
67,千七百三十九,0
68,三千九百八十一,0
69,四千三十九,0
70,二千六百四十六,0
71,十四,0
72,十,0
73,四千百八十一,0
74,二百七十六,0
75,四千四百九十一,0
76,三千三百五,0
77,四千八百九十四,0
78,四百九十,0
79,千五百九十八,0
80,二千二百六十,0
81,七百七十五,0
82,二千八百六十八,0
83,二千百九十四,0
84,三千五百九十八,0
85,七百九,0
86,千百六,0
87,千七百五十一,0
88,三千一,0
89,四千六百六,0
90,二千百七十,0
91,四千七百十三,0
92,五百八十八,0
93,千五百二十一,0
94,二百九十六,0
95,三千九百三十四,0
96,三千七百八十,0
97,四千九百五十七,0
98,四千六百十四,0
99,二千七百八十二,0
