,sents,labels
0,firs; femhundrede og nioghalvfems,1
1,firehundrede og et; nihundrede og treogfyrre,1
2,ottehundrede og femogtreds; femhundrede og nioghalvtreds,0
3,nihundrede og fireoghalvtreds; syvhundrede og otte,0
4,femhundrede og otteoghalvfems; femhundrede og otteogtredive,0
5,tohundrede og seksogtredive; ni,0
6,tohundrede og femogtyve; nihundrede og toogtyve,1
7,firehundrede og femoghalvfems; tohundrede og fireogfirs,0
8,tohundrede og fireoghalvtreds; ottehundrede og syvogfirs,1
9,tohundrede og treogtyve; tohundrede og otteogtyve,1
10,sekshundrede og fyrre; firehundrede og nioghalvtreds,0
11,tohundrede og ni; firehundrede og toogfirs,1
12,tohundrede og tyve; firehundrede og femogtyve,1
13,trehundrede og enogtredive; sekshundrede og atten,1
14,ottehundrede og fjorten; syvhundrede og halvfems,0
15,tohundrede og treoghalvfems; tohundrede og tredive,0
16,femhundrede og otteogtreds; syvhundrede og fireogtredive,1
17,syvhundrede og treogtyve; femhundrede og toogtyve,0
18,firehundrede og fireogfirs; trehundrede og syvoghalvfems,0
19,syvhundrede og toogfyrre; ottehundrede og et,1
20,enogfyrre; syvhundrede og femogfyrre,1
21,femhundrede og treogfyrre; trehundrede og syvoghalvfjerds,0
22,ottehundrede og niogfirs; sekshundrede og enogfirs,0
23,treogfyrre; firehundrede og halvtreds,1
24,enogtreds; ottehundrede og nioghalvfjerds,1
25,tohundrede og halvfjerds; tohundrede og niogtreds,0
26,ethundrede og femogtyve; trehundrede og treogfyrre,1
27,syvhundrede og treogfirs; sekshundrede og syvoghalvfems,0
28,sekshundrede og tyve; firehundrede og femoghalvfems,0
29,nihundrede og seksogtyve; trehundrede og seksoghalvtreds,0
30,firehundrede og otteogfirs; seksogtreds,0
31,trehundrede og syvogtredive; ottehundrede og enogtredive,1
32,tohundrede og seksten; syvhundrede og femogtyve,1
33,ottehundrede og treogfirs; sekshundrede og femogtreds,0
34,tohundrede og et; ethundrede og fireogtyve,0
35,firehundrede og enogfirs; firehundrede og enogfyrre,0
36,tohundrede og treogtyve; ethundrede og niogtredive,0
37,femhundrede og otteoghalvtreds; nioghalvfems,0
38,ethundrede og syvoghalvfjerds; ethundrede og femogfirs,1
39,ottehundrede og femoghalvtreds; ottehundrede og toogtyve,0
40,nihundrede og syvoghalvtreds; ottehundrede og tyve,0
41,tohundrede og enogfirs; trehundrede og niogtredive,1
42,ethundrede og seksoghalvtreds; femhundrede og fireoghalvtreds,1
43,femten; ottehundrede og seksogtreds,1
44,tohundrede og tolv; ottehundrede og toogtyve,1
45,nihundrede og fireogfyrre; ottehundrede og seksogtreds,0
46,sekshundrede og tre; ottehundrede og toogfyrre,1
