,nums,labels
0,ethundrede og niogtreds,0
1,trehundrede og enoghalvtreds,0
2,ottehundrede og seksoghalvtreds,0
3,tohundrede og enogfyrre,0
4,tohundrede og syvogfirs,0
5,syvhundrede og syvogtredive,0
6,tohundrede og treogfirs,0
7,trehundrede og syvogfirs,0
8,firehundrede og nitten,0
9,femhundrede og niogtreds,0
10,syvhundrede og ti,0
11,firehundrede og halvfjerds,0
12,sekshundrede og fjorten,0
13,femhundrede og niogtredive,0
14,syvhundrede og halvfjerds,0
15,syvhundrede og fireogtreds,0
16,trehundrede og enogtredive,0
17,syvhundrede og elleve,0
18,ottehundrede og fireogfyrre,0
19,ethundrede og enoghalvtreds,0
20,femogtredive,0
21,tohundrede og toogfyrre,0
22,femhundrede og nioghalvtreds,0
23,nihundrede og atten,0
24,syvhundrede og syvogfyrre,0
25,femhundrede og to,0
26,firehundrede og toogtreds,0
27,femogfyrre,0
28,sekshundrede og syvogfirs,0
29,trehundrede og halvtreds,0
30,nihundrede og seksogfyrre,0
31,seksogtredive,0
32,sekshundrede og femogtreds,0
33,tohundrede og fireoghalvtreds,0
34,sekshundrede og syvogfyrre,0
35,tohundrede og toogtreds,0
36,syvhundrede og ti,0
37,firehundrede og seksoghalvtreds,0
38,ethundrede og fire,0
39,tohundrede og to,0
40,firehundrede og toogfirs,0
41,nihundrede og fireogtredive,0
42,ettusind,0
43,enogtyve,0
44,ethundrede og toogtredive,0
45,femhundrede og fireogtredive,0
46,ottehundrede og femoghalvfems,0
47,firehundrede og seksogtreds,0
48,sekshundrede og fireogtredive,0
49,firehundrede og enogfirs,0
50,nihundrede og otte,0
51,sekshundrede og niogtreds,0
52,femhundrede og tooghalvtreds,0
53,tohundrede og enogtredive,0
54,nihundrede og enoghalvfjerds,0
55,halvfjerds,0
56,firehundrede og otteoghalvfems,0
57,femhundrede og treds,0
58,femhundrede og otteogtredive,0
59,trehundrede og toogtreds,0
60,syvoghalvtreds,0
61,syvhundrede og treoghalvtreds,0
62,firehundrede og otteogtyve,0
63,tohundrede og tooghalvfems,0
64,nihundrede og seksten,0
65,sekshundrede og femogtreds,0
66,ethundrede og otteoghalvfjerds,0
67,femhundrede og nioghalvfems,0
68,tohundrede og fjorten,0
69,trehundrede og seks,0
70,tohundrede og tyve,0
71,sekshundrede og sytten,0
72,syvhundrede og syvoghalvfems,0
73,nihundrede og enoghalvfjerds,0
74,fireogtredive,0
75,sekshundrede og seksoghalvtreds,0
76,trehundrede og toogtreds,0
77,tohundrede og syvogtyve,0
78,firehundrede og femogtredive,0
79,femhundrede og enoghalvfjerds,0
80,firehundrede og syvogtreds,0
81,nihundrede og treogtredive,0
82,femhundrede og toogtyve,0
83,syvhundrede og enogfyrre,0
84,trehundrede og fireoghalvfjerds,0
85,ottehundrede og treds,0
86,firehundrede og tooghalvfjerds,0
87,treogfyrre,0
88,ethundrede og elleve,0
89,firehundrede og femogfyrre,0
90,syvhundrede og syvogtreds,0
91,femhundrede og syvogtreds,0
92,firehundrede og otteogtyve,0
93,femhundrede og treogfirs,0
94,femhundrede og fireogfyrre,0
95,sekshundrede og elleve,0
96,treogtredive,0
97,tohundrede og tredive,0
98,tohundrede og femoghalvfjerds,0
99,sekshundrede og fireogfyrre,0
100,syvogfyrre,0
101,firehundrede og toogtredive,0
102,tohundrede og treds,0
103,femhundrede og toogtyve,0
104,femhundrede og femogfyrre,0
105,tohundrede og seksogfyrre,0
106,firehundrede og sytten,0
107,ethundrede og syvoghalvtreds,0
