,sents,labels
0,nihundrede og nioghalvfjerds nihundrede og otteogfyrre,1
1,ottehundrede og fireogtreds firehundrede og fireoghalvfjerds,1
2,firehundrede og syvogfyrre,0
3,sekshundrede og halvfems,0
4,femhundrede og treoghalvfems syvhundrede og seksogfirs,1
5,nihundrede og tooghalvfjerds,0
6,trehundrede og femogtredive,0
7,trehundrede og enogtredive syvhundrede og enogfirs,1
8,firehundrede og fireogtreds,0
9,tohundrede og tyve,0
10,firehundrede og enogfyrre syvhundrede og fireoghalvfjerds,1
11,syvhundrede og seksogtreds ottehundrede og enogtyve,1
12,sekshundrede og enogtreds,0
13,ottehundrede og halvfems sekshundrede og enoghalvfjerds,1
14,ottehundrede og tyve firehundrede og atten,1
15,ti sekshundrede og seksogfyrre,1
16,trehundrede og ni,0
17,femhundrede og seksoghalvtreds,0
18,tohundrede og tredive ethundrede og otte,1
19,nihundrede og treds,0
20,femhundrede og fireogtreds,0
21,ethundrede og treoghalvtreds syvhundrede og syv,1
22,sekshundrede og fyrre syvhundrede og tredive,1
23,nihundrede og femogtreds,0
24,trehundrede og treoghalvfems tohundrede og nioghalvfems,1
25,trehundrede og seksogfyrre,0
26,treogtredive,0
27,trehundrede og seksogfyrre syvhundrede og femogtyve,1
28,trehundrede og treogtyve,0
29,femhundrede og syv ottehundrede og halvtreds,1
30,sekshundrede og toogtredive ethundrede og toogtreds,1
31,femhundrede og treogfyrre syvhundrede og syvoghalvfjerds,1
32,trehundrede og toogtreds trehundrede og enoghalvtreds,1
33,femhundrede og fjorten tohundrede og toogfyrre,1
34,firehundrede og syvogtyve ethundrede og fjorten,1
35,sekshundrede og enoghalvfems femhundrede og fire,1
36,ethundrede og treogtredive ottehundrede og tolv,1
37,trehundrede og seksten trehundrede og seksoghalvtreds,1
38,ethundrede og otteogtyve sekshundrede og niogtyve,1
39,syvoghalvfems ottehundrede og seksogtredive,1
40,otteogtredive,0
41,nihundrede og seksoghalvfems ottehundrede og otte,1
42,syvhundrede og to nihundrede og niogfyrre,1
43,tohundrede og nitten,0
44,tooghalvtreds,0
45,firehundrede og niogtredive,0
46,sekshundrede og treds femhundrede og niogtreds,1
47,firehundrede og otte syvhundrede og toogtyve,1
48,ethundrede og seksten,0
49,sekshundrede og halvfems,0
50,trehundrede og seksogfyrre trehundrede og halvfjerds,1
51,trehundrede og femogfyrre femhundrede og enogtyve,1
52,ethundrede og atten,0
53,syvoghalvfems,0
54,nihundrede og femoghalvfems trehundrede og fireogfyrre,1
55,sekshundrede og nioghalvtreds,0
56,syvhundrede og fyrre,0
57,firehundrede og nioghalvfems,0
58,nihundrede og seksogfyrre,0
59,toogtyve,0
60,sekshundrede og enogtreds enogtreds,1
61,tohundrede og toogtreds firehundrede og to,1
62,firehundrede og fireoghalvtreds ottehundrede og niogtyve,1
63,trehundrede og treoghalvtreds tohundrede og ti,1
64,tohundrede og tooghalvtreds,0
65,syvhundrede og niogtredive ottehundrede og treoghalvfems,1
66,ethundrede og treogtreds,0
67,nihundrede og syvogfyrre,0
68,nihundrede og otteoghalvfems,0
69,ottehundrede og tretten ottehundrede og toogfyrre,1
70,ethundrede og ti ethundrede og elleve,1
71,ethundrede og treogtredive,0
72,femhundrede og femogtreds,0
73,nihundrede og seksogtreds sekshundrede og fem,1
74,trehundrede og enogtredive,0
75,tohundrede og toogfirs ethundrede og toogfirs,1
76,nihundrede og seksogtredive nihundrede og treds,1
77,trehundrede og seksten,0
78,syvhundrede og tolv,0
79,nihundrede og femogtyve ottehundrede og toogtreds,1
80,firehundrede og treds ethundrede og otteogfyrre,1
81,ottehundrede og syv,0
82,tohundrede og seksogtredive,0
83,seksten,0
84,tooghalvfjerds,0
85,syvhundrede og otteogtyve,0
86,trehundrede og femogfirs,0
87,femhundrede og ti tohundrede og seksogtreds,1
88,treogtredive firehundrede og tretten,1
89,trehundrede og nioghalvtreds sekshundrede og treoghalvfjerds,1
90,firehundrede og syvogfyrre,0
91,sekshundrede og fjorten,0
92,sekshundrede og nitten sekshundrede og atten,1
93,sekshundrede og toogtredive,0
94,firehundrede og syvogtreds sekshundrede og niogfirs,1
95,syvhundrede og tretten,0
96,firehundrede og fyrre ethundrede og tyve,1
97,nihundrede og toogtreds,0
98,nihundrede og fem nihundrede og seksogfyrre,1
99,ottehundrede og niogfirs,0
100,ethundrede og syvoghalvfems,0
101,syvhundrede og syvoghalvfems,0
102,nihundrede og seksogfyrre sekshundrede og treogtyve,1
103,firehundrede og fireogfirs,0
104,syvhundrede og syvogtreds,0
105,femhundrede og et,0
106,trehundrede og fireoghalvfems niogfyrre,1
107,syvoghalvfjerds femhundrede og treoghalvtreds,1
108,firehundrede og fjorten ethundrede og enoghalvfems,1
109,ethundrede og seks,0
110,nihundrede og femogtyve,0
111,trehundrede og seksogfyrre femogfyrre,1
112,toogtyve,0
113,femogtyve,0
114,tohundrede og treoghalvtreds tohundrede og halvtreds,1
115,tohundrede og tooghalvfjerds atten,1
116,firehundrede og tooghalvfjerds firehundrede og syvogfirs,1
117,trehundrede og syvogfirs ethundrede og tre,1
118,ottehundrede og treoghalvfems,0
119,femhundrede og seksoghalvfjerds,0
120,femhundrede og seksoghalvtreds,0
