,nums,labels
0,six cent cinquante et un; sept cent soixante neuf,1
1,neuf cent trente quatre; cinq cent trente trois,0
2,trois cent quatre vingt dix sept; six cent soixante dix huit,1
3,cinq cent cinquante neuf; six cents,1
4,six cent vingt six; huit,0
5,deux cent soixante quatorze; neuf cent deux,1
6,trois cent quatre vingt quatre; sept cent quatre vingt quatre,1
7,sept cent cinquante trois; cinq cent dix neuf,0
8,trois cent trente six; neuf cent deux,1
9,deux cent quarante et un; six cent soixante dix huit,1
10,huit cent cinquante deux; neuf cent huit,1
11,six cent soixante huit; cent quarante cinq,0
12,deux cent trois; sept cent dix huit,1
13,sept cent cinquante deux; sept cent vingt neuf,0
14,deux cent soixante dix; deux cent vingt quatre,0
15,cent quarante deux; quatre cent cinquante neuf,1
16,cent trente et un; trois cent quarante et un,1
17,cinq cent vingt cinq; sept cent quatre vingt quatorze,1
18,cinq cent quatre vingt treize; deux cent dix neuf,0
19,cinq cent quatre vingt trois; deux cent soixante dix sept,0
20,neuf cent six; deux cent soixante douze,0
21,trois cent cinquante cinq; neuf cent quatre vingt quinze,1
22,cinq cent quatre vingt treize; trois cent seize,0
23,huit cent cinquante quatre; quatre cent vingt cinq,0
24,deux cent quarante et un; trente et un,0
25,cinq cent soixante cinq; quatre cent trente quatre,0
26,sept cent quarante deux; huit cent quatre vingt neuf,1
27,neuf cent neuf; trois cent soixante douze,0
28,trois cent vingt quatre; deux cent quarante neuf,0
29,neuf cent quarante neuf; sept cent soixante et un,0
30,cinquante deux; neuf cent cinquante,1
31,quatre cent treize; six cent quatre vingt dix,1
32,sept cent cinquante deux; trois cent soixante treize,0
33,sept cent quatre vingt trois; huit cent vingt et un,1
34,quatre vingt huit; cinq,0
35,quatre cent cinquante huit; soixante trois,0
36,six cent vingt et un; cent soixante six,0
37,deux cent quatre vingt treize; huit cent soixante,1
38,cent vingt neuf; quatre cent cinquante neuf,1
39,cent quatre vingt dix sept; neuf cent quatre vingt dix huit,1
40,quatre cent quatre vingt douze; sept cent quatre vingts,1
41,cinq cent vingt deux; quatre cent vingt sept,0
42,deux cent soixante quatre; quatre vingt huit,0
43,six cent soixante huit; trois cent trois,0
44,trois cent trente six; sept cent vingt sept,1
45,quatre cent quatre vingt douze; cinq cent vingt deux,1
46,quatre cent quarante cinq; sept cent quarante sept,1
47,cinq cent soixante; quatre cent six,0
48,cent soixante quinze; six cent vingt et un,1
49,cent soixante douze; trois cent soixante seize,1
50,six cent vingt neuf; deux cent soixante cinq,0
51,trois cent quatre vingts; deux cent quatre vingt douze,0
52,six cent soixante neuf; huit cent soixante douze,1
53,six cent quarante cinq; sept cent quatre vingt deux,1
54,cent soixante dix; cinq cent trente sept,1
55,deux cent soixante treize; cinq cent soixante trois,1
56,sept cent cinquante neuf; neuf cent quarante deux,1
57,trois cent sept; quatre cent cinquante six,1
58,six cent trente quatre; neuf cent trente six,1
59,quatre cent soixante quinze; neuf cent vingt huit,1
60,cinq cent quinze; quatre cent six,0
61,quatre cent soixante douze; six cent soixante dix huit,1
62,deux cent quarante quatre; neuf cent vingt huit,1
63,huit cent quatre vingt six; cinq cent quarante trois,0
64,neuf cent vingt huit; quatre cent vingt cinq,0
65,trois cent soixante dix neuf; huit cent neuf,1
66,neuf cent quatre vingts; deux cent quinze,0
67,deux cent soixante trois; trois cent trente six,1
68,huit cent neuf; six cent soixante quatre,0
69,vingt et un; deux cent quarante deux,1
70,trois cent vingt sept; trois cent soixante six,1
71,six cent quatre vingt quatorze; six cent dix sept,0
72,deux cents; sept cent vingt,1
73,quatre cent quatre vingt dix sept; cent dix sept,0
74,huit; sept cent cinquante trois,1
75,deux cent neuf; huit cent cinquante sept,1
76,huit cent quatre vingt six; deux cent soixante quatre,0
77,quarante; cinq cent trente neuf,1
78,quatre vingt trois; quatre cent cinq,1
79,cinq cent trente quatre; vingt sept,0
80,sept cent soixante cinq; trois cent cinquante sept,0
81,sept cent quarante huit; cinq cent huit,0
82,neuf cent sept; deux cent quatre vingt quinze,0
83,sept cent vingt huit; quatre cent trente six,0
84,trois cent cinquante et un; trois cent six,0
85,sept cent soixante neuf; quatre vingt un,0
86,sept cent quarante trois; six cent onze,0
87,trois cent soixante seize; cent quatorze,0
88,trois cent quarante trois; cent trente quatre,0
89,huit cent vingt six; huit cent quatre vingt un,1
90,quatre cent soixante quatre; quatre,0
91,cinq cent six; six cent douze,1
92,six cent trente sept; six cent dix sept,0
93,quatre vingt dix sept; sept cent neuf,1
94,neuf cent cinquante trois; huit cent soixante dix neuf,0
95,quatre vingt dix; trois cent vingt quatre,1
96,huit cent vingt neuf; six cent dix huit,0
97,cent quinze; cinq cent cinquante trois,1
98,cinquante trois; neuf cent quatre,1
99,huit cent trente cinq; neuf cent quatre vingt huit,1
100,neuf cent soixante et un; deux cents,0
101,huit cent quatre vingts; deux cents,0
102,neuf cent quatre vingt quinze; neuf cent quatre vingt un,0
103,trois cent quatre vingt dix huit; quatre cent soixante quinze,1
104,cent vingt et un; cent treize,0
105,deux cent quatre vingt trois; sept cent cinquante neuf,1
106,quatre cent quarante neuf; six cent quarante deux,1
107,neuf cent soixante trois; six cent soixante six,0
108,sept cent quarante huit; quatre vingt dix neuf,0
109,douze; trois cent soixante seize,1
110,cent dix huit; neuf cent soixante quatre,1
111,trois cent quatre vingt dix huit; trente huit,0
112,cinq cent trente deux; huit cent trente huit,1
113,cent quatre vingt six; trente trois,0
114,neuf cent soixante treize; cinq cent quatre vingts,0
115,cent quatre vingt cinq; six cent trente trois,1
116,six cent soixante deux; sept cent vingt cinq,1
117,six cent trente huit; soixante treize,0
118,huit cent quatre vingt quatorze; huit cent vingt trois,0
119,sept cent vingt sept; quatre cent quarante trois,0
120,neuf cent soixante dix huit; six cent soixante neuf,0
121,cent trente et un; deux cent quatre vingt dix sept,1
122,cinq cent quarante quatre; huit cent soixante seize,1
123,soixante dix sept; vingt trois,0
124,sept cent trente neuf; cinq cent vingt six,0
125,quatre cent quatre vingt dix sept; cent trente deux,0
126,quatre cent trente deux; six cent soixante quinze,1
127,sept cent soixante et un; huit cent quarante et un,1
128,cinq cent quatre vingt dix huit; trois cent trente,0
129,quatre cent quarante trois; neuf cent quatre vingt treize,1
130,cent onze; six cent cinquante trois,1
131,deux cent quatre vingt treize; quatre cent vingt cinq,1
132,cinq cent trente; quatre cent quarante quatre,0
133,six cent quatre vingt seize; neuf,0
134,sept cent quatre vingt douze; neuf cent trente et un,1
135,six cent soixante; six cent quatre vingt onze,1
136,cinq cent cinquante cinq; quatorze,0
137,six cent quarante cinq; sept cent trente huit,1
138,huit cent quatre vingt quatre; cent soixante et onze,0
139,six cent quarante et un; cent,0
140,sept cent quarante sept; trois cent soixante quatorze,0
141,cinq cent quatre vingt dix; sept cent soixante deux,1
142,six cent quatre vingt quatorze; cinq cent quatre vingt quatorze,0
143,neuf cent soixante treize; sept cent quatre vingt quinze,0
144,huit cent soixante dix neuf; six cent trente cinq,0
145,deux cent quatre vingt cinq; trente sept,0
146,sept cent quarante neuf; huit cent quatre vingt sept,1
147,cent quatre vingt quatorze; huit cent trente trois,1
148,huit cent quatorze; deux cent trente quatre,0
149,six cent vingt deux; trente six,0
150,deux; huit cent vingt,1
151,neuf cent soixante; sept cent deux,0
152,sept cent six; deux cent soixante sept,0
153,cent soixante quinze; cinq cent soixante,1
154,quarante six; neuf cent quatre vingt douze,1
155,sept cent soixante; neuf cent quatre vingt dix neuf,1
156,six cent soixante douze; cinquante cinq,0
157,six cent deux; trois cent douze,0
158,neuf cent neuf; huit cent soixante dix,0
159,quatre cent quatre vingt onze; six cent soixante douze,1
160,cent dix neuf; huit cent six,1
161,huit cent treize; quatre cent quatre vingt douze,0
162,sept cent cinq; sept cent vingt trois,1
163,sept cent soixante huit; six cent quarante,0
164,trente et un; trois cent quatre vingt dix,1
165,neuf cent cinquante; cinquante trois,0
166,quatre cent soixante quatorze; six cent quatre,1
167,quatre cent deux; trois cent quatre vingt trois,0
168,huit cent soixante dix huit; cinq cent vingt cinq,0
169,sept cent quatre vingt sept; cent quarante deux,0
170,neuf cent vingt neuf; quatre vingt quinze,0
171,sept cent quatre vingt seize; neuf cent soixante huit,1
172,trois cent quatre vingt onze; sept cent cinq,1
173,sept cent cinquante cinq; quatre cent quarante trois,0
174,deux cent soixante treize; neuf cent soixante douze,1
175,sept cent douze; six cent quatre vingt un,0
176,cinq cent quatre vingt treize; cent quarante neuf,0
177,sept cent quatre vingt dix huit; trois cent quatre vingt cinq,0
178,sept cent soixante neuf; six cent quatre vingt huit,0
179,deux cent soixante quatre; cinq cent trois,1
180,quatre cent quarante quatre; cent soixante treize,0
181,quatre cent douze; deux cent cinq,0
