,nums,labels
0,six cent trente neuf,0
1,cent quatre vingt dix huit,0
2,cinq cent quarante sept,0
3,cinq cent quarante cinq,0
4,neuf cent quinze,0
5,trois cent quarante sept,0
6,cent soixante sept,0
7,quatre cent cinquante trois,0
8,quatre cent trente deux,0
9,huit cent soixante dix huit,0
10,cinq cent dix,0
11,quatre cent quatorze,0
12,cinq cent soixante treize,0
13,neuf cent soixante deux,0
14,sept cent trente sept,0
15,huit cent trente,0
16,trente,0
17,huit cent soixante dix,0
18,trois cent dix huit,0
19,mille,0
20,quatre cent cinq,0
21,cinq cent soixante dix,0
22,cinq cent quarante,0
23,neuf cent vingt deux,0
24,quatre cent cinquante trois,0
25,neuf cent trois,0
26,trois cent quatre vingt dix huit,0
27,huit cent quatre vingt dix,0
28,six cent quarante et un,0
29,sept cent soixante quatre,0
30,cinq cent vingt trois,0
31,deux cent quatre vingt douze,0
32,cinq cent vingt neuf,0
33,quatre cent soixante neuf,0
34,cent quarante deux,0
35,six cent dix neuf,0
36,soixante dix,0
37,six cent vingt sept,0
38,quatre cent huit,0
39,deux cent quatre vingt trois,0
40,neuf cent quatre vingt dix,0
41,deux cent soixante huit,0
42,cinq cent quarante deux,0
43,dix,0
44,six cent soixante dix neuf,0
45,six cent soixante trois,0
46,huit cent quatre vingt quatorze,0
47,neuf cent quatre vingt deux,0
48,huit cent trente et un,0
49,six cent quatre vingt sept,0
50,cent quatre vingt onze,0
51,cent quarante quatre,0
52,neuf cent soixante trois,0
53,cinq cent quarante,0
54,trois cent cinquante six,0
55,cent quatre vingt quatorze,0
56,sept cent cinquante quatre,0
57,neuf cent trente trois,0
58,vingt deux,0
59,quatre cent soixante sept,0
60,cinq cent soixante six,0
61,six cent quatre vingt treize,0
62,vingt cinq,0
63,six cent quarante deux,0
64,quatre cent soixante trois,0
65,quarante six,0
66,trois cent quarante cinq,0
67,neuf cent soixante quatorze,0
68,neuf cent seize,0
69,deux cent vingt quatre,0
70,neuf cent trente deux,0
71,huit cent soixante huit,0
72,trois cent quarante huit,0
73,sept cent quatre vingt sept,0
74,neuf cent quarante trois,0
75,cinq cent quatre vingt dix neuf,0
76,cinq cent quarante sept,0
77,sept cent cinquante cinq,0
78,deux cent soixante trois,0
79,trois cent trois,0
80,huit cent quatre vingt quinze,0
81,huit cent soixante deux,0
82,neuf cent trente huit,0
83,six cent quatre vingt quatre,0
84,sept cent quatre vingt douze,0
85,deux cent vingt six,0
86,huit cent soixante dix,0
87,sept cent trente deux,0
88,vingt six,0
89,cent soixante cinq,0
90,deux cent cinquante cinq,0
91,neuf cent vingt deux,0
92,quatre cent quatre vingt onze,0
93,sept cent cinquante trois,0
94,cinq cent soixante seize,0
95,huit cent vingt six,0
96,cinq cent vingt neuf,0
97,huit cent soixante treize,0
98,six cent soixante quatorze,0
99,six cent deux,0
100,quatre cent douze,0
101,neuf cent cinquante quatre,0
102,trois cent quatre vingt dix huit,0
103,trois cent onze,0
104,huit cent onze,0
105,six cent soixante six,0
106,cent vingt et un,0
107,quatre cent soixante six,0
108,six cent quatre vingt neuf,0
109,trois cent dix huit,0
110,deux cent soixante treize,0
111,deux cent quatre vingt un,0
112,cent quatre vingt dix huit,0
113,quatre cent trente huit,0
114,neuf cent soixante quatre,0
115,quatre vingt dix sept,0
116,cinq cent quatre vingt douze,0
117,quatre cent quatre vingt trois,0
118,cent quarante cinq,0
119,huit cent vingt neuf,0
120,six cent cinq,0
121,trois cent quatre vingt trois,0
122,six cent soixante dix,0
123,huit cent trente et un,0
124,sept cent cinquante,0
125,neuf cent douze,0
126,quarante quatre,0
127,quatre cent quatre vingt quatorze,0
128,trois cent soixante douze,0
129,neuf cent soixante quinze,0
130,quatre cent quatre vingt dix sept,0
131,six cent quatre vingt un,0
132,cinq cent soixante dix sept,0
133,huit cent soixante trois,0
134,sept cent soixante dix sept,0
135,cinq cent cinquante trois,0
136,six cent soixante cinq,0
137,deux cent cinquante et un,0
138,deux cent trente huit,0
139,quatre cent quarante neuf,0
140,quatre cent vingt,0
141,deux cent trente neuf,0
142,six cent cinquante deux,0
143,huit cent cinquante sept,0
144,quatre cent trente cinq,0
145,cent quatre vingt quinze,0
146,deux cent vingt trois,0
147,huit cent soixante cinq,0
148,deux cent quatorze,0
149,cinq cent soixante trois,0
150,quatre vingt deux,0
151,soixante neuf,0
152,trois cent quatre vingt dix neuf,0
153,sept cent vingt neuf,0
154,cinq cent quatre,0
155,trois cent cinquante six,0
156,sept cent deux,0
157,huit cent soixante huit,0
158,six cent quatre vingt cinq,0
159,neuf cent quatorze,0
160,neuf cent trente,0
161,cinq cent cinquante cinq,0
162,neuf cent quatre vingt trois,0
163,huit cent soixante seize,0
164,deux cent quarante six,0
165,neuf cent quarante deux,0
166,cinq cent six,0
167,quatre cent cinq,0
168,six cent quarante neuf,0
169,deux cent neuf,0
170,six cent cinquante,0
171,cent quarante,0
172,soixante deux,0
173,deux cent soixante quatre,0
174,soixante sept,0
175,neuf cent quatre vingt quinze,0
176,neuf cent sept,0
177,cent trente trois,0
178,sept cent quatre vingt treize,0
179,cent trente sept,0
180,cinquante huit,0
181,quatre cent soixante trois,0
182,sept cent dix neuf,0
183,trois cent seize,0
184,quatre cent quatre vingt huit,0
185,trois cent dix huit,0
186,six cent sept,0
187,deux cent cinquante trois,0
188,cent cinquante deux,0
189,sept cent soixante quinze,0
190,trois cent dix huit,0
191,quatre cent vingt neuf,0
192,sept cent trente huit,0
193,trois cent dix neuf,0
194,neuf cent quatre vingts,0
195,trois cent trois,0
196,sept cent soixante huit,0
197,quatre cent trente cinq,0
198,soixante et un,0
199,cinq cent huit,0
200,sept cent un,0
201,cinq cent quatre vingt trois,0
202,cinq cent vingt quatre,0
203,huit cent trente sept,0
204,neuf cent dix sept,0
205,deux cent dix,0
206,neuf cent trente neuf,0
207,six cent vingt et un,0
208,six cent trente sept,0
209,six cent neuf,0
210,huit cent cinquante six,0
211,deux cent quatre vingt treize,0
212,cinq cent quatre vingt deux,0
213,huit cent vingt neuf,0
214,quatre cent quatorze,0
215,cent neuf,0
216,trois cent vingt cinq,0
217,deux cent trente trois,0
218,huit cent vingt neuf,0
219,vingt et un,0
220,huit cent soixante quatorze,0
221,six cent soixante trois,0
222,neuf cent soixante dix neuf,0
223,cent sept,0
224,neuf cent cinquante quatre,0
225,cent cinquante quatre,0
226,cent trente six,0
227,cinq cent huit,0
228,cent soixante quinze,0
229,huit cent quatre vingt dix huit,0
230,neuf cent vingt cinq,0
231,six cent soixante neuf,0
232,cent vingt sept,0
233,neuf cent soixante six,0
234,cinquante huit,0
235,neuf cent vingt trois,0
236,trois cent quatre vingt huit,0
237,quatre cent soixante dix sept,0
238,quatre cent quarante neuf,0
239,deux cent quatre vingt seize,0
240,cent quarante cinq,0
241,sept cent soixante dix sept,0
242,sept cent soixante dix neuf,0
243,cent quarante six,0
244,trois cent soixante cinq,0
245,dix neuf,0
246,sept cent quatre vingt trois,0
247,cent dix sept,0
248,six cent quarante trois,0
249,sept cent quatre vingts,0
250,sept cent quatre,0
251,neuf cent cinquante deux,0
252,neuf cent cinquante cinq,0
253,cinq cent quatre vingt dix huit,0
254,six cent trente,0
255,trois cent trois,0
256,cinquante neuf,0
257,six cent douze,0
258,neuf cent soixante dix sept,0
259,huit cent vingt et un,0
260,deux cent vingt cinq,0
