,nums,labels
0,七百六十四,0
1,三百八十四,0
2,六百九十七,0
3,六百六十四,0
4,四百十二,0
5,三百九十四,0
6,二百九十三,0
7,二百八,0
8,六百十三,0
9,二百二十三,0
10,四百七十二,0
11,百九十三,0
12,四百三十二,0
13,五百九十四,0
14,七百二十七,0
15,九十九,0
16,六百四十二,0
17,二百八十一,0
18,四百九,0
19,百三,0
20,二百三,0
21,百三十四,0
22,九百九十九,0
23,六十九,0
24,三百七,0
25,二百八十二,0
26,百六十五,0
27,六百八十七,0
28,七百九十八,0
29,九百五十八,0
30,八百四十六,0
31,百十一,0
32,五百七十四,0
33,百四十六,0
34,四百九十八,0
35,八百五十五,0
36,九百八十一,0
37,三,0
38,三百八,0
39,十九,0
40,五百九十五,0
41,七百八十三,0
42,十,0
43,四百九十四,0
44,五百十六,0
45,三百三十二,0
46,七百八十五,0
47,八百四十五,0
48,百五十一,0
49,七百二十,0
50,四百二十二,0
51,三百二十一,0
52,二百二十三,0
53,八十九,0
54,四百九十一,0
55,六百七十,0
56,三百六十五,0
57,五百八十,0
58,八百三十九,0
59,八十三,0
60,百三十七,0
61,八百八十九,0
62,九百五十一,0
63,六百三十一,0
64,百二十一,0
65,三百五十八,0
66,五百六十二,0
67,五百九十四,0
68,九百二十一,0
69,三百六十六,0
70,六百四十二,0
71,三百八十三,0
72,四百七十四,0
73,五百七,0
74,五百六,0
75,七百五十五,0
76,四百四十,0
77,五百二十七,0
78,九百四十七,0
79,三百六十五,0
80,五百二十二,0
81,八百九十三,0
82,七百六,0
83,三十六,0
84,三百八十九,0
85,十七,0
86,二十八,0
87,六百三十三,0
88,八十,0
89,二百三十,0
90,七百二十一,0
91,二百六十六,0
92,六百九十八,0
93,四百九十七,0
94,三百四十七,0
95,六百十八,0
96,七百二十一,0
97,二百三十四,0
98,四百十七,0
99,九百二十六,0
100,九十一,0
101,三百四十六,0
102,三百三十五,0
103,三百六十六,0
104,七百六十七,0
105,七百八十七,0
106,二百三十,0
107,二百六十二,0
108,六百二十一,0
109,九百九,0
110,八百六,0
111,三百七十八,0
112,五百三十八,0
113,六百二十一,0
114,二百二十,0
115,六百八,0
116,六百五十二,0
117,六百三十,0
118,四百九十三,0
119,九百三十六,0
120,五百八十七,0
121,三百八十九,0
122,百四十五,0
123,七百七十九,0
124,二百七十九,0
125,七百五十五,0
126,五百二十九,0
127,九百五十九,0
128,二百十三,0
129,三百三十六,0
130,三百八十,0
131,百五十六,0
132,四百七十六,0
133,八百三十三,0
134,百五十一,0
135,三百六十八,0
136,二百八十,0
137,五十九,0
138,三百四十七,0
139,五十三,0
140,九百十四,0
141,七百七十四,0
142,七百四十二,0
143,二百六十九,0
144,六百二十,0
145,九百七,0
146,七百六十八,0
147,百六十九,0
148,二百四十三,0
149,八百五,0
150,五百七十三,0
