,nums,labels
0,sekshundrede og femogtreds; syvhundrede og syvogtredive,1
1,tohundrede og toogtreds; trehundrede og fjorten,1
2,sekshundrede og enogtredive; nihundrede og enoghalvtreds,1
3,syvhundrede og otteogfyrre; nihundrede og tooghalvtreds,1
4,firehundrede og halvtreds; firehundrede og syvoghalvtreds,1
5,femhundrede og syvoghalvtreds; seksogtreds,0
6,ethundrede og treoghalvfems; tyve,0
7,syvhundrede og elleve; ethundrede og fireogtredive,0
8,ottehundrede og fireogtyve; trehundrede og syvoghalvtreds,0
9,tohundrede og toogfirs; trehundrede og to,1
10,tohundrede og otteoghalvtreds; ottehundrede og halvtreds,1
11,firehundrede og tretten; syvhundrede og tre,1
12,tohundrede og niogtredive; nihundrede og fire,1
13,trehundrede og firs; sekshundrede og syvogtredive,1
14,tohundrede og treogfirs; trehundrede og treogfyrre,1
15,ottehundrede og syvogfirs; sekshundrede og otteogfyrre,0
16,firehundrede og fireoghalvfems; tohundrede og toogfyrre,0
17,femhundrede og otteogtyve; nihundrede og tolv,1
18,ethundrede og fireoghalvtreds; ethundrede og niogfyrre,0
19,ethundrede og et; femhundrede og femoghalvfems,1
20,ottehundrede og otteoghalvfems; firehundrede og otteoghalvfems,0
21,trehundrede og otteoghalvtreds; ottehundrede og niogtredive,1
22,firehundrede og enogfyrre; trehundrede og syvogtreds,0
23,nihundrede og to; firehundrede og enogtyve,0
24,nihundrede og treds; trehundrede og seksten,0
25,nihundrede og fireogfyrre; tohundrede og toogfyrre,0
26,tohundrede og femogtyve; ethundrede og niogtreds,0
27,tohundrede og otteoghalvfems; tohundrede og seksogtyve,0
28,firehundrede og to; nihundrede og otteogfyrre,1
29,syvhundrede og treoghalvtreds; syvhundrede og treogtyve,0
30,femhundrede og fireogtredive; enoghalvtreds,0
31,ethundrede og seksoghalvfjerds; fireogtreds,0
32,syvoghalvfjerds; tohundrede og enoghalvfjerds,1
33,femhundrede og seksogtreds; femhundrede og treogfirs,1
34,otteogtyve; ottehundrede og enogtredive,1
35,trehundrede og halvtreds; trehundrede og to,0
36,syvhundrede og treoghalvfjerds; toogfirs,0
37,tohundrede og treogfyrre; femhundrede og fireogtredive,1
38,sekshundrede og tolv; ottehundrede og treoghalvfjerds,1
39,sekshundrede og halvtreds; syvhundrede og seksogfirs,1
40,femhundrede og toogtreds; trehundrede og enogtredive,0
41,sekshundrede og fireogtreds; femhundrede og ni,0
