,nums,labels
0,firehundrede og treoghalvtreds,0
1,trehundrede og seksoghalvfems,0
2,femhundrede og sytten,0
3,firehundrede og enoghalvfjerds,0
4,ottehundrede og seksoghalvtreds,0
5,otteogfirs,0
6,nihundrede og niogfirs,0
7,tohundrede og fireoghalvtreds,0
8,femhundrede og enogtyve,0
9,tohundrede og otteogfirs,0
10,nihundrede og femogtyve,0
11,firehundrede og tooghalvfems,0
12,syvhundrede og enogtyve,0
13,syvogtyve,0
14,niogtyve,0
15,ottehundrede og otteoghalvfems,0
16,femhundrede og enogtredive,0
17,toogfirs,0
18,firs,0
19,ethundrede og nitten,0
20,tohundrede og enogfirs,0
21,trehundrede og seksogtreds,0
22,sekshundrede og treds,0
23,femhundrede og niogtredive,0
24,tooghalvfjerds,0
25,firehundrede og et,0
26,sekshundrede og fireogtredive,0
27,trehundrede og seksogtyve,0
28,sekshundrede og tretten,0
29,tooghalvfems,0
30,nihundrede og tredive,0
31,ottehundrede og enoghalvfjerds,0
32,syvhundrede og tolv,0
33,trehundrede og tyve,0
34,sekshundrede og tyve,0
35,sekshundrede og fireoghalvtreds,0
36,ethundrede og fireoghalvfems,0
37,femhundrede og treogtreds,0
38,seksten,0
39,treogtredive,0
40,ethundrede og otteogtreds,0
41,nihundrede og treogtyve,0
42,syvhundrede og toogtreds,0
43,sekshundrede og enogfirs,0
44,sekshundrede og enoghalvtreds,0
45,tooghalvfems,0
46,ottehundrede og enogtredive,0
47,trehundrede og elleve,0
48,ottehundrede og enogfirs,0
49,ethundrede og seksoghalvfems,0
50,halvfems,0
51,tohundrede og enogfirs,0
52,sekshundrede og otteoghalvfjerds,0
53,sekshundrede og halvtreds,0
54,sekshundrede og otteogtredive,0
55,fjorten,0
56,trehundrede og enogtredive,0
57,ethundrede og sytten,0
58,ottehundrede og treogfirs,0
59,tohundrede og atten,0
60,tohundrede og tredive,0
61,ottehundrede og nioghalvfjerds,0
62,syvhundrede og fireoghalvfjerds,0
63,syvhundrede og otteogtyve,0
