,nums,labels
0,three hundred and seventy three; eight hundred and thirty eight,1
1,three hundred and thirty five; two hundred and six,0
2,two hundred and fifty nine; eight hundred and seventy six,1
3,nine hundred and ninety two; four hundred and sixteen,0
4,three hundred and eighty four; eight hundred and fifty six,1
5,seven hundred; nine hundred and fifty two,1
6,one hundred and eighty eight; ninety two,0
7,nine hundred and ninety seven; four hundred and seventy six,0
8,three hundred and seventy six; two hundred and forty six,0
9,four hundred and twenty one; eight hundred and sixty six,1
10,eight hundred; four hundred and eighty seven,0
11,seven hundred and forty; six hundred and ninety five,0
12,one hundred and eighty three; three hundred and ninety three,1
13,one hundred and twenty eight; one hundred and ninety one,1
14,five hundred and forty six; seven hundred and thirty seven,1
15,four hundred and ninety two; six hundred and forty two,1
16,seventy six; three hundred and eighty four,1
17,one hundred and fifty seven; four hundred and forty two,1
18,eight hundred and thirty; three hundred and twenty eight,0
19,ninety six; seven hundred and fifty one,1
20,eighty eight; sixty four,0
21,eight hundred and fifty two; four hundred and ninety six,0
22,three hundred and sixty six; seven hundred and eighty,1
23,seven hundred and forty seven; six hundred and fifty seven,0
24,eight hundred and twelve; two hundred and forty,0
25,eight hundred and sixty three; six hundred and forty,0
26,two hundred and forty four; two hundred and seventy five,1
27,three hundred and one; seven hundred and fifty two,1
28,three hundred and thirteen; nine hundred and seventy three,1
29,six hundred and thirty one; seven hundred and forty three,1
30,two hundred and sixty four; seven hundred and seventy six,1
31,two hundred and sixty three; nine hundred and thirty four,1
32,one hundred and fifty; three hundred and twenty one,1
33,six hundred and sixty six; nine hundred and seventy nine,1
34,six hundred and fifteen; three hundred and three,0
35,thirty one; two hundred and twelve,1
36,nine hundred and seven; forty seven,0
37,one hundred and thirteen; seven hundred and twenty seven,1
38,seven hundred and seven; eight hundred and forty one,1
39,two hundred and forty nine; seven hundred and seventy one,1
40,seven hundred and four; six hundred and fifty three,0
41,two hundred and eighty five; three hundred and eighty four,1
42,eight hundred and fourteen; six hundred and ninety nine,0
43,four hundred and twenty; two hundred and twelve,0
44,six hundred and sixty five; eight hundred and eighty two,1
45,nine hundred and ten; six hundred and seventy four,0
46,five hundred and sixty; sixty one,0
47,seven hundred and sixty four; five hundred and sixty nine,0
48,eight hundred and thirty nine; three hundred and eighty nine,0
49,eight hundred and twenty six; six hundred and ninety two,0
50,one hundred and forty six; seven hundred and seven,1
51,three hundred and seventy seven; six hundred and twenty seven,1
52,eight hundred and eighty two; eight hundred and thirty two,0
53,one hundred and fifty three; two hundred and ninety three,1
54,nine hundred and thirty eight; four hundred and thirty seven,0
