,nums,labels
0,forty two,0
1,eight hundred and twenty one,0
2,fifty one,0
3,three hundred and twenty two,0
4,three hundred and ninety six,0
5,five hundred and fifty four,0
6,two hundred and twenty five,0
7,two hundred and ten,0
8,one hundred and ninety one,0
9,one hundred and fifty two,0
10,four hundred and twenty eight,0
11,nine hundred and nineteen,0
12,nine hundred and seventy seven,0
13,sixty seven,0
14,nine hundred and ninety eight,0
15,six hundred and ninety nine,0
16,five hundred and twenty six,0
17,four hundred and sixty three,0
18,seven hundred and ninety six,0
19,three hundred and eighty nine,0
20,twenty eight,0
21,six hundred and forty two,0
22,four hundred and sixty six,0
23,eighty eight,0
24,eleven,0
25,three hundred and four,0
26,nine hundred and five,0
27,eight hundred and fifty two,0
28,three hundred and fifty seven,0
29,six hundred and five,0
30,six hundred and twenty one,0
31,eight hundred and eight,0
32,two hundred and thirty eight,0
33,one hundred and twenty four,0
34,four hundred and ninety two,0
35,two hundred and seventy eight,0
36,two hundred and twenty one,0
37,four hundred and ninety two,0
38,ninety four,0
39,one hundred and seventy six,0
40,seven hundred and fifty four,0
41,ninety seven,0
42,eight hundred and seven,0
43,six hundred and ninety five,0
44,five hundred and thirty two,0
45,eight hundred and forty six,0
46,seven hundred and eighty four,0
47,nine hundred and twenty seven,0
48,ninety three,0
49,nine hundred and sixty three,0
50,five hundred and twenty nine,0
51,one hundred and nine,0
52,seven hundred and forty three,0
53,four hundred and eighty four,0
54,three hundred and forty two,0
55,sixteen,0
56,thirty,0
57,six hundred and sixty seven,0
58,ninety three,0
59,seven hundred and eighty eight,0
60,eight hundred and thirty eight,0
61,five hundred and thirty eight,0
62,eight hundred and ninety nine,0
63,seven hundred and seventy two,0
64,four hundred and fifty one,0
65,four hundred and thirty eight,0
66,two hundred and eighty one,0
67,eight hundred and seventy five,0
68,one hundred and five,0
69,seven hundred and twenty seven,0
70,four hundred and thirty five,0
71,four hundred and twenty two,0
72,five hundred and thirty one,0
73,three hundred and forty,0
74,nine hundred and twenty two,0
75,ninety seven,0
76,six hundred and ninety two,0
77,nine hundred and ninety,0
78,nine hundred and forty,0
79,four hundred,0
80,one hundred and sixty four,0
81,two hundred and thirty four,0
82,one hundred and eighty six,0
83,one hundred and eighty one,0
84,six hundred and twenty six,0
85,five hundred and fifty seven,0
86,nine hundred and sixty five,0
87,ninety five,0
88,six hundred and sixty,0
89,nine hundred and forty six,0
90,one hundred and ninety nine,0
91,ninety five,0
92,one hundred and forty five,0
93,nine hundred and twelve,0
94,five hundred and sixty three,0
95,one hundred and forty,0
96,eight hundred and twenty seven,0
97,eight hundred and seventy,0
98,four hundred and fifty,0
99,four hundred and eighty six,0
100,one hundred and fifty nine,0
101,seven hundred and eighty five,0
102,seven hundred and twenty five,0
103,three hundred and ninety five,0
