,nums,labels
0,cent quarante huit; cent soixante dix neuf,1
1,sept cent dix sept; neuf cent cinquante deux,1
2,cent douze; neuf cent soixante neuf,1
3,huit cent quarante six; sept cent vingt sept,0
4,cinq cent trente cinq; quatre cent soixante treize,0
5,deux cent quatre vingt deux; trente et un,0
6,cent quarante sept; trois cent cinquante sept,1
7,cent quarante quatre; sept cent dix neuf,1
8,soixante quatre; trois cent soixante douze,1
9,cinq cent quatre vingt sept; trois cent quatre vingt seize,0
10,cent soixante douze; six cent quatre,1
11,neuf cent quatre vingt six; cinq cent trois,0
12,deux cent quarante trois; cent trente trois,0
13,sept cent quatorze; six cent vingt huit,0
14,neuf cent cinquante deux; huit cent cinquante neuf,0
15,deux cent soixante huit; sept cent quatre vingt douze,1
16,deux cent dix neuf; cent quatre vingt neuf,0
17,neuf cent quatre; cinq cent vingt cinq,0
18,quatre vingt six; cent quatre vingt neuf,1
19,cent sept; cinquante,0
20,quatre cent quarante quatre; cent quatre vingt cinq,0
21,cinq cent soixante; deux cent vingt deux,0
22,quatre cent quarante trois; deux cent dix neuf,0
23,cent vingt et un; cinq cent quatre vingt deux,1
24,sept cent soixante six; sept cent soixante cinq,0
25,neuf cent soixante trois; sept cent dix neuf,0
26,vingt deux; soixante cinq,1
27,sept cent quatre vingt dix; trente huit,0
28,trois cent soixante dix neuf; neuf cent quatre vingt quatorze,1
29,sept cent trente cinq; soixante trois,0
30,six cent soixante et un; neuf cent trente cinq,1
31,trois cent quatre vingt quatre; quatre cent quarante trois,1
32,deux cent soixante quatre; cent trente neuf,0
33,sept cent dix; neuf cent quatre vingt neuf,1
34,deux cent soixante dix huit; trois cent soixante douze,1
35,deux cent vingt six; cent trente cinq,0
36,six cent trente quatre; deux cent quarante neuf,0
37,huit cent trente et un; trois cent trente neuf,0
38,six cent dix neuf; cent soixante quinze,0
39,cinq cent quatre vingt dix neuf; neuf cent quinze,1
40,quatre cent trente neuf; quatre cent quatre vingt seize,1
41,sept cent quatre; neuf cent soixante quatre,1
42,six cent vingt sept; trois cent quatre,0
43,deux cent cinquante trois; cent trente trois,0
44,huit cent quatre vingt quinze; six cent soixante trois,0
45,sept cent soixante et onze; quatre vingt neuf,0
46,deux cent dix huit; quatre cent vingt et un,1
47,cent soixante sept; deux cent douze,1
48,cinq cent quatorze; trois cent trente huit,0
49,cent quatre vingt trois; cent cinquante sept,0
50,cent cinquante quatre; neuf cent soixante et onze,1
51,sept cent cinquante trois; sept cent vingt et un,0
52,quatre vingt trois; deux cent soixante quatre,1
53,quatre cent cinquante et un; huit cent soixante neuf,1
54,cent quatre vingt dix sept; trois cent quarante trois,1
55,sept cent cinquante; sept cent quatre vingt cinq,1
