,nums,labels
0,cinq cent soixante douze,0
1,trois cent cinq,0
2,quatre cent quatre vingts,0
3,quatre cent cinquante six,0
4,quatre cent trente cinq,0
5,neuf cent dix,0
6,cent quatre vingt treize,0
7,trois cent trente et un,0
8,deux cent soixante dix huit,0
9,huit cent soixante trois,0
10,cent soixante et un,0
11,huit cent quarante trois,0
12,sept cent quatre vingt trois,0
13,cinq cent soixante dix neuf,0
14,trois cent soixante quatre,0
15,neuf cent soixante quatorze,0
16,cinq cent cinquante six,0
17,trois cent quatre vingt dix huit,0
18,trois cent quarante cinq,0
19,six cent trente deux,0
20,quatre cent quinze,0
21,deux cent quatre vingt seize,0
22,six cent trente neuf,0
23,six cent quatre vingt dix,0
24,sept cent trente quatre,0
25,quatre cent vingt sept,0
26,deux cent soixante trois,0
27,vingt huit,0
28,neuf cent deux,0
29,trois cent vingt,0
30,cent quatre vingt dix huit,0
31,six cent quatre vingt trois,0
32,neuf cent soixante neuf,0
33,huit cent quatre vingt dix sept,0
34,vingt six,0
35,quatre cent trente neuf,0
36,dix sept,0
37,trois cent soixante neuf,0
38,trente sept,0
39,sept cent trente huit,0
40,sept cent vingt quatre,0
41,trois cent trente et un,0
42,neuf cent soixante,0
43,cinq cent douze,0
44,sept cent trente trois,0
45,cent trente quatre,0
46,six cent quatre vingt onze,0
47,quatre cent quatre vingt dix neuf,0
48,cinq cent seize,0
49,sept cent soixante cinq,0
50,huit cent soixante trois,0
51,six cent quarante cinq,0
52,sept cent cinquante neuf,0
53,cinq cent soixante sept,0
54,six cent soixante quatre,0
55,sept cent soixante dix,0
56,trois cent trente sept,0
57,quarante huit,0
58,trois cent cinquante deux,0
59,cinq cent quarante trois,0
60,huit cent dix sept,0
61,quatre cent soixante six,0
62,six cent cinquante quatre,0
63,huit cent quatre vingt onze,0
64,quatre cents,0
65,cinq cent cinquante sept,0
66,cent soixante,0
67,sept cent quatre vingt treize,0
68,cinq cent soixante seize,0
69,six cent quarante deux,0
70,six cent quatre vingt quatorze,0
71,six cents,0
72,quatre cent quinze,0
73,six cent douze,0
74,six cent soixante dix huit,0
75,cent trente quatre,0
76,sept cent soixante dix huit,0
77,cent cinq,0
78,cent cinquante trois,0
79,huit cent soixante cinq,0
80,deux cent quatre vingts,0
81,quatre vingt neuf,0
82,sept cent quatre vingt six,0
83,cent cinquante et un,0
84,quarante cinq,0
85,cinq cent trente,0
86,quatre cent huit,0
87,six cent sept,0
88,huit cent soixante et onze,0
89,quarante huit,0
90,cinquante et un,0
91,huit cent quatre vingt dix huit,0
92,soixante et un,0
93,deux cent soixante dix sept,0
94,trois cent vingt six,0
95,deux cent quatre vingt huit,0
96,neuf cent quatre vingt un,0
97,huit cent quatre vingt dix,0
98,cent trente huit,0
99,cinq cent quarante sept,0
100,quatre cent quatre vingt huit,0
101,sept cent quarante cinq,0
102,vingt deux,0
103,quatre cent huit,0
104,huit cent soixante neuf,0
105,six cent vingt neuf,0
106,trois cent trente quatre,0
107,neuf cent quatre vingt six,0
108,cent soixante neuf,0
109,quatre cent seize,0
110,neuf cent cinquante,0
111,cinquante huit,0
112,deux cent vingt deux,0
113,cent quatre vingts,0
114,cent cinquante,0
115,trois cent trente sept,0
116,sept cent quatre vingt six,0
117,neuf cent trente sept,0
118,six cent vingt quatre,0
119,huit cent quarante cinq,0
120,cent cinquante,0
121,trois cent soixante trois,0
122,quatre cent cinquante et un,0
123,cinq cent soixante deux,0
124,sept cent quatre vingt trois,0
125,cent soixante dix huit,0
126,deux cent quarante trois,0
127,deux cent vingt sept,0
128,huit cent quatre vingt trois,0
129,six cent quatre vingt sept,0
130,neuf cent soixante treize,0
131,quatre vingt seize,0
132,six cent soixante quatre,0
133,vingt deux,0
134,huit cent vingt,0
135,deux cent trois,0
136,quatre,0
137,neuf cent quarante cinq,0
138,huit cent quatre vingt quatre,0
139,six cent quatre vingt dix sept,0
140,neuf cent quatre vingt cinq,0
141,cinq cent soixante douze,0
142,huit cent soixante et onze,0
143,quatre cent un,0
