,nums,labels
0,四百; 九百九十一,1
1,五百六十六; 三百三十三,0
2,七百五十八; 五十,0
3,九百二十五; 八百八,0
4,八百一; 四百三十二,0
5,九百十九; 八百五十五,0
6,六十三; 百六十九,1
7,九百二十二; 八百十,0
8,九百四十; 六百四十六,0
9,四百四十五; 八百十三,1
10,六百二十; 九百五十六,1
11,九百三十四; 七百八十二,0
12,七百八十三; 六百三十六,0
13,六百九十三; 五百六十五,0
14,九百四十二; 六百十五,0
15,七百十四; 四百八十一,0
16,四百五十四; 九百九十,1
17,三百八十八; 三百七十九,0
18,六百六十七; 三百六十九,0
19,百五; 二百七十四,1
20,百五十; 六百十三,1
21,八百六; 三百九十七,0
22,四百九十四; 三百六,0
23,四百二十二; 百四十一,0
24,四百二十八; 二百三十九,0
25,三百七十二; 九百七,1
26,九百七; 七百九十,0
27,二百三十七; 九百四十六,1
28,二百三; 七百八十,1
29,百六十三; 九百七十七,1
30,三百三十二; 四百五十七,1
31,三百十八; 七十四,0
32,四百四十; 二百九十六,0
33,七百二十三; 三百三十五,0
34,百七十七; 五百三十八,1
35,五百八十; 八百三十六,1
36,五百三十七; 六百十九,1
37,百五十八; 六百五十八,1
38,八十九; 二百三十八,1
39,三百八十一; 九百一,1
40,八百四十八; 百五十五,0
41,九百四十七; 五百十九,0
42,三百四十六; 五百六十三,1
43,二百三十一; 六百四十一,1
44,六百十六; 七百十四,1
45,六百八十; 二百九十五,0
46,五百十八; 三百,0
47,九百十三; 二百七十八,0
48,八百三十六; 五百二十,0
49,五百六十三; 九百五十八,1
50,八百十; 四十七,0
51,九百六; 五百七十,0
52,百二十六; 九百十八,1
53,九百九十七; 五百八十七,0
54,七百八十九; 六百七,0
55,九百四十八; 二百四十四,0
56,九百十四; 九百十三,0
57,八百七十五; 五百三十五,0
58,九百五十七; 百九十三,0
59,二百八十八; 百六十三,0
60,二百五十一; 五百六十九,1
61,七百九十九; 八百九,1
62,二百十七; 七百三十四,1
63,四百六十四; 八百二十六,1
64,百十七; 三百九十一,1
65,九十六; 二百八十八,1
66,六百七十; 百八十七,0
67,四百六; 七百六十八,1
68,百五十一; 九百十六,1
69,八百十; 百五十一,0
70,六百四十; 六百七十一,1
71,九百七十二; 四百九,0
72,三百八十七; 六百五十八,1
73,五百五十一; 七百四十九,1
74,四百四十六; 五百六十,1
75,二百九十三; 八百四十七,1
76,四百八十六; 百四十三,0
77,四百十三; 九百十八,1
78,七百四十七; 八百七十二,1
79,五百六十四; 七十七,0
80,八百五十五; 三百九十四,0
81,九百八十一; 九十二,0
82,八百九十; 三百三十七,0
83,五百十四; 七百五十五,1
84,五百九十三; 八百四,1
85,三百十三; 七百二十五,1
86,四十四; 十四,0
87,八百五十七; 九十一,0
88,七百八十六; 八百四十九,1
89,百二十五; 三百六十五,1
90,十五; 三百九十一,1
91,八百六十八; 七百五十七,0
92,六百二十七; 百七十四,0
93,六百十三; 八百三十八,1
94,八百六十八; 九百七十七,1
95,六百九十三; 八百三十,1
96,十九; 三百六十九,1
97,十六; 八百三十三,1
98,百五十八; 七百十一,1
99,五百十一; 七十八,0
100,五百三十六; 四百六十二,0
101,六百三十六; 七百五十二,1
102,百六十四; 九百六十,1
103,六十六; 二百二十,1
104,八百五十; 九百三十一,1
105,四百十四; 九百九十九,1
106,八百七十四; 九百五十五,1
107,九十三; 二百三十,1
108,九十; 五百九十,1
109,四百三十五; 八百三十七,1
110,三十三; 二百六十一,1
111,八百四十五; 三百二十九,0
112,三百七十; 百九,0
113,二百二; 七十七,0
114,八百九; 百八十三,0
115,二百五十五; 六百七十,1
116,百十八; 五百三十五,1
117,八百四十九; 八百七十六,1
118,九百十四; 五百六十五,0
119,九百八十七; 三百二十五,0
120,五十九; 四百十,1
121,二十三; 八百七十四,1
122,三百七十五; 二百九十二,0
123,八百八十二; 七百二十四,0
124,三百二十六; 九百八十四,1
125,九十七; 七百三十七,1
126,九百五十五; 六百二十,0
127,百二十九; 七百六,1
128,三百七; 四百六十八,1
129,三百二十一; 百,0
130,八百二十三; 八百七十三,1
131,百八十四; 十三,0
132,八百六十二; 九百六十四,1
133,八百六十一; 九百三十八,1
134,三百六十七; 七百十八,1
135,四百五十四; 八百十,1
136,二百五十二; 二百二十二,0
137,八百四十八; 八十五,0
138,五百二; 八百五十,1
139,百二十四; 九百四十一,1
140,九百二十六; 百四十,0
141,二百四十四; 八百五十,1
142,三百五十五; 六百七十四,1
143,八百七十一; 二百七十五,0
144,二百九十二; 八百五十七,1
145,三百八十五; 七百十八,1
146,四百三; 二百三十六,0
147,三百七十一; 八百七十八,1
148,九百十二; 八百九十四,0
149,五百四十四; 八百二十九,1
150,八百九十五; 四百十九,0
151,百七十三; 八百五,1
152,九百七十; 三百四十六,0
153,三百十八; 八百三十八,1
154,八百六十九; 八百七十,1
155,八百七十九; 百四十三,0
156,八十三; 三百四,1
157,六百十六; 百六,0
158,五百五十五; 二十七,0
159,三百十; 二百八十一,0
160,五百七十六; 八百二十五,1
161,七百二十一; 九十八,0
162,五十九; 七百八十八,1
163,五百七十二; 百五十八,0
164,三十八; 九百七十九,1
165,六百二十四; 七百三十二,1
166,四百八十五; 六百九十七,1
167,四百六十五; 三百六十,0
168,三十; 四百四十九,1
169,五百八十九; 九百五十一,1
170,二百八十三; 九百七十二,1
171,百八十三; 三百六十九,1
172,三十八; 三百七十五,1
173,二百十; 五百十八,1
174,六百六十五; 二百八十八,0
175,四百九十一; 三百四十八,0
176,百六十五; 五百七十一,1
177,百六十五; 六百八十九,1
178,三百五十七; 七百六十九,1
179,七百九; 五百四十八,0
180,十八; 百十七,1
181,六百二十五; 八百四十一,1
182,四百二十七; 八百十三,1
183,六百十一; 五百六十六,0
184,九百七十八; 二十五,0
185,四百四十三; 五百九十一,1
186,六百十一; 百一,0
187,二百四十二; 二十,0
188,二百七十五; 二十六,0
189,九百二十四; 四百二十四,0
190,五百八十九; 九十九,0
191,十三; 百八十,1
192,百六十四; 二百七十,1
193,六百六十二; 八百十九,1
194,五十五; 五百三十二,1
195,六百七十八; 八十一,0
196,百九十七; 七百六十四,1
197,八百六十三; 二百八十三,0
198,七百九十四; 二百七十四,0
199,二百六; 七百三十二,1
200,七百三十三; 七百二,0
201,五百九十七; 十四,0
202,二百五; 五,0
203,五百九十三; 百三,0
204,八百四十六; 七百五十六,0
205,三百四十七; 九百四,1
206,五百三十八; 五百八十一,1
207,三百五十二; 七百九十八,1
208,八百五十一; 七百七十四,0
209,八十; 四百九十八,1
210,二百六; 五百五十七,1
211,九百三十三; 四百五十七,0
212,七十二; 八百二十三,1
213,六百三十五; 百三十八,0
214,七百四十五; 六百三十九,0
215,百六十一; 百五十三,0
216,三百十三; 九百四十六,1
217,四百八十七; 三百五十,0
218,五百九十八; 三百七十三,0
219,八百四十五; 九百二十九,1
220,五百五; 四百十,0
221,百十一; 六百一,1
222,九百二十九; 五百五十九,0
223,三百五十六; 八百七十八,1
224,百九十三; 二百十四,1
225,六百十二; 八百二十四,1
226,七百一; 六百五十,0
227,十一; 二百三十三,1
228,九百七十二; 九百四十,0
229,五百二十八; 二百九十,0
230,五百二十; 九十八,0
231,五十一; 四百十八,1
232,三百三十二; 八百八十五,1
233,百; 四百十二,1
234,七百四十六; 六百六十四,0
235,九百十五; 七百八十六,0
236,三百四十三; 四百五十二,1
237,百五十五; 五十九,0
238,三百二十一; 三百十三,0
239,五百二十; 四百二十二,0
240,七百四十八; 四十五,0
241,四百十三; 七百五,1
242,百十; 四十九,0
243,七百九十一; 七百十八,0
244,八十七; 五百六十九,1
245,五百九十; 九百十六,1
246,三百七十九; 二百十六,0
247,八百二十; 四百四十五,0
248,八百七十一; 七百十六,0
249,百九十七; 六百六十九,1
250,百七十二; 七百九十五,1
251,九百三十六; 五百四十一,0
252,三百八十八; 三百八十三,0
253,四百六十六; 九百四十一,1
254,七百三十二; 二百四十八,0
255,百三十七; 四十一,0
256,四百十五; 四百五十九,1
257,三百五十五; 六百八,1
258,六百十二; 百六十五,0
259,九百五; 七百二十四,0
260,九百七十九; 六百十八,0
261,六百四; 四百二十四,0
262,百八; 二百九,1
263,五百五十二; 七百一,1
264,百二十九; 六百八十七,1
265,七百九十二; 三百四十五,0
266,百七十三; 四百七十,1
267,三百十三; 七百九十二,1
268,六百四; 九百十五,1
269,八百三十六; 九百三十二,1
270,四百七十一; 四百二十七,0
271,百六十三; 六百四十一,1
272,六百七十七; 四百八十三,0
273,七百十六; 百九十七,0
274,九百二十二; 七十八,0
275,八百八十七; 百二十九,0
276,三百; 五百十六,1
277,三百八十四; 三百五十七,0
278,三百九十七; 九百七十一,1
279,九百三十九; 九百二十五,0
280,二十二; 百,1
281,八百六十一; 三百十四,0
282,五百三十五; 八百五十五,1
283,八百二十; 三十八,0
284,九百六十五; 六十四,0
