,nums,labels
0,九百二十,0
1,三百三十二,0
2,二百九十八,0
3,六百七十五,0
4,五百十一,0
5,八百二,0
6,二百三十四,0
7,六百五十八,0
8,四百七十八,0
9,二百四十三,0
10,八百八十四,0
11,三百八十三,0
12,五十九,0
13,四十一,0
14,三百六十三,0
15,九百七十七,0
16,六百五,0
17,四百四十八,0
18,七十九,0
19,六百九十七,0
20,八百十三,0
21,六百三十一,0
22,二百五十四,0
23,六百六十五,0
24,四百八十六,0
25,三百四十四,0
26,二十四,0
27,七百五十三,0
28,八百,0
29,四百十,0
30,二百七十四,0
31,八百四十八,0
32,四百十四,0
33,六百八十一,0
34,七十五,0
35,七百四十,0
36,三十三,0
37,四十二,0
38,百二十八,0
39,二百一,0
40,五百二十,0
41,七百八十三,0
42,四百七十,0
43,九百四十六,0
44,四百九十四,0
45,六百八十七,0
46,百九十三,0
47,二十一,0
48,八百六十二,0
49,四百三十四,0
50,八百七,0
51,八百六十,0
52,四百一,0
53,七百五十三,0
54,二百十九,0
55,七百七十一,0
56,六百四,0
57,八百十五,0
58,七百四,0
59,百五十六,0
60,六百八十四,0
61,七百十五,0
62,七百五十四,0
63,四百六十三,0
64,五百,0
65,三百五十一,0
66,三十二,0
67,三十九,0
68,五百六十八,0
69,六百九十,0
70,八百二十一,0
71,六十八,0
72,十二,0
73,百四十四,0
74,八百,0
75,三百十一,0
76,九百六十六,0
77,三百九,0
78,九百九十六,0
79,三百五十八,0
80,二十三,0
81,六百六十一,0
82,二百九十七,0
83,九百五十一,0
84,八百六十九,0
85,五百九十九,0
86,三百四十六,0
87,七十八,0
88,四十三,0
89,百二十一,0
90,五百五十一,0
91,三百七十八,0
92,百三十七,0
93,八百六十七,0
94,百六十一,0
95,三百二,0
96,六百七十三,0
97,二百二十五,0
98,二百八十,0
99,五百二,0
100,九百十六,0
101,九百九十一,0
102,八百三十,0
103,百五十五,0
104,四百十三,0
105,九百二十六,0
106,八百十一,0
107,四百八十八,0
108,二百八十二,0
109,二百九十,0
110,二百八十七,0
111,六百十七,0
112,三百九十六,0
113,八百九十九,0
114,二百七十二,0
115,八百十七,0
116,八百七十六,0
117,六百七十八,0
118,三百二十,0
119,四百三十一,0
120,三百四十二,0
121,八百三十八,0
122,九百五,0
123,二百五,0
124,八百八十六,0
125,六百三十八,0
126,百六十,0
127,五十四,0
128,四百九十二,0
129,九百八,0
130,百五,0
131,二百三十二,0
132,二十,0
133,三百三十一,0
134,二百七十九,0
135,六百七十一,0
136,八百十八,0
137,千,0
138,三百三十五,0
139,五百二十七,0
140,六百七十四,0
141,二百十七,0
142,三百二十一,0
143,六百九十九,0
144,九百九十六,0
145,百七十三,0
146,八百六十,0
147,九百二十,0
148,二百十二,0
149,八百二十四,0
150,十,0
151,五百四,0
152,七百七十二,0
153,六百六十,0
154,三百九十六,0
155,三百八十八,0
156,六百十二,0
157,九百四十九,0
158,三百六十三,0
159,六百四十六,0
160,三百六十九,0
161,四百二,0
162,五百四十七,0
163,五百十,0
164,五百二十五,0
165,九百六十五,0
166,二百十一,0
167,九百四十六,0
168,五百二十四,0
169,八百五,0
170,二百一,0
171,四百九十六,0
172,八百九十五,0
173,五百五,0
174,二百七十九,0
175,八十九,0
176,二百八十九,0
177,七百七十九,0
178,三百七十,0
179,三百七,0
180,五百四十八,0
181,八百五十七,0
182,百八十,0
183,三百九十三,0
184,五百十五,0
185,九百十八,0
186,百八十一,0
187,五百四十四,0
188,七十七,0
189,十二,0
190,三百五十三,0
191,六百四十四,0
192,六百二十二,0
193,二百六十,0
194,八百九十二,0
195,三百六,0
196,百九,0
197,五百七十六,0
198,百九十八,0
199,六百八十,0
200,七百五十三,0
201,三百九,0
202,七百四十三,0
203,二百九十六,0
204,七百六十一,0
205,九百十三,0
206,三百八,0
207,六百十六,0
208,七百五十八,0
209,百五十九,0
210,三百七十,0
211,九百二十,0
212,七百四,0
213,五百六十七,0
214,五百六十二,0
215,六百三十一,0
216,八百十五,0
217,四百十,0
218,九百八,0
219,八十,0
220,百六十六,0
221,六百六十二,0
222,二十三,0
223,五百十二,0
224,七百二十八,0
225,三十,0
226,百六十三,0
227,八百四十四,0
228,五百二十,0
229,四百十,0
230,六百五十四,0
231,二百三十一,0
232,七百五十六,0
233,五百四十,0
234,百六,0
235,四百十七,0
236,五百三十六,0
237,九百十四,0
238,五百六十一,0
239,二百十六,0
240,八百四十二,0
241,三百六,0
242,四百七十九,0
243,九百四十九,0
244,二百五,0
245,六百二十二,0
246,五百七十八,0
247,六百五十七,0
248,九百七十六,0
249,七百三十,0
250,三百十三,0
251,九百八十五,0
252,四百三十六,0
253,二百二十九,0
254,七百四十三,0
255,三百五十二,0
256,五百七十五,0
257,八百六十四,0
258,三百七十,0
259,四百八十九,0
260,七百六十五,0
261,百四十五,0
262,六百四十五,0
263,四百六十,0
264,五百五十八,0
265,五百四,0
266,六十一,0
267,七百三十四,0
268,六百六十四,0
269,七百二十六,0
270,七百五十二,0
271,六百九十八,0
272,七百五十五,0
273,八百七十四,0
274,三百三十七,0
275,三百十二,0
276,八百九十八,0
277,八百二十八,0
278,六百七,0
279,三百八十,0
280,百九十一,0
281,七百六十八,0
282,百七十二,0
283,四百五十八,0
284,九百五十,0
285,五百四十七,0
286,七百四十八,0
287,四百四,0
288,三百四十,0
289,三百四十一,0
290,三十一,0
291,六百四十六,0
292,六百四十四,0
293,三百七十九,0
294,四百七十,0
295,七百四十八,0
296,四百六十一,0
297,五百四,0
298,八百二十八,0
299,六百三十五,0
300,六百四十,0
301,九,0
302,八百六十八,0
303,三百七十,0
304,四百十五,0
305,八十,0
306,三百六十八,0
307,四百五十二,0
308,六十五,0
309,六百九,0
310,二百十五,0
311,五百四十九,0
312,七百八十三,0
313,九百二十四,0
314,三百三十九,0
315,四百七十八,0
316,九百八十五,0
317,九百八,0
318,八百三十四,0
319,二百四十,0
320,百七十五,0
321,七百八十九,0
322,百四十六,0
323,百四十,0
324,四十九,0
325,六百十,0
326,九百五十,0
327,三百十五,0
328,七百四十三,0
329,二百五十四,0
330,百四十九,0
331,四百七,0
332,三十八,0
333,十四,0
334,百六十六,0
335,六十二,0
336,九百六十九,0
337,二百四十五,0
338,六百九十,0
339,七百六十四,0
340,六百四十八,0
341,五百八十三,0
342,六百十八,0
343,八百六十三,0
344,七百一,0
345,二百五十八,0
346,九百四十三,0
347,九十一,0
348,四百八十一,0
349,四百二十二,0
350,四百五十,0
351,三百十四,0
352,五百四十九,0
353,二百二十二,0
354,二百八十九,0
355,七百六十二,0
356,五十二,0
357,八百九十七,0
358,六百二十二,0
359,二十七,0
360,六百七,0
361,二百五十六,0
362,三百九十三,0
363,九百二十六,0
364,八十六,0
365,五百八十四,0
366,百五十一,0
367,五十八,0
368,五十七,0
369,三百四十八,0
370,五百八十五,0
371,六百五十九,0
372,四百四十二,0
373,六百七十一,0
374,七百五十九,0
375,二百四十三,0
376,三百七十一,0
377,三百六十七,0
378,五百四十五,0
379,九十五,0
380,二百三十一,0
381,八百九十,0
382,百七十九,0
383,百六,0
384,三百七十,0
385,七百四十三,0
386,三百八十三,0
387,四百九十二,0
388,七百五,0
389,六十二,0
390,百二十,0
391,百九十八,0
392,七百八十三,0
393,七百七十八,0
394,五百二,0
395,五百七十九,0
396,七百十八,0
397,百三十八,0
398,五十二,0
399,六百八十一,0
400,九百二十七,0
401,三百十三,0
402,百二十七,0
403,七百十,0
404,三十五,0
405,六百七十五,0
406,七百八十三,0
407,六十九,0
408,九百六,0
409,三百七十九,0
410,七百六十七,0
411,六百五十一,0
412,三百七十三,0
413,七百四十四,0
414,六百六十,0
415,三百五十六,0
416,三百十三,0
417,七十四,0
418,二百二,0
419,八百八,0
420,二百四十八,0
421,五百四十五,0
422,四百九十,0
